"index","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","feature22","feature23","feature24","feature25","feature26","feature27","feature28","feature29","feature30","feature31","feature32","feature33","feature34","feature35","feature36","feature37","feature38","feature39","feature40","feature41","feature42","feature43","feature44","feature45","feature46","feature47","feature48","feature49","feature50","feature51","feature52","feature53","feature54","feature55","feature56","feature57","feature58","feature59","feature60","feature61","feature62","feature63","feature64","feature65","feature66","feature67","feature68","feature69","feature70","feature71","feature72","feature73","feature74","feature75","feature76","feature77","feature78","feature79","feature80","feature81","feature82","feature83","feature84","feature85","feature86","feature87","feature88","feature89","feature90","feature91","feature92","feature93","feature94","feature95","feature96","feature97","feature98","feature99","feature100","feature101","feature102","feature103","feature104","feature105","feature106","feature107","feature108","feature109","feature110","feature111","feature112","feature113","feature114","feature115","feature116"
48,-0.880695,-1.056976,-0.700786,-0.168168,-0.603872,1.49491,0.360934,0.028079,1.121735,0.86883,-0.126177,-1.644403,0.966522,-0.004028,-0.128225,-0.279142,-0.746579,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.14366,-0.830397,-1.10501,-0.818565,-0.616801,-0.326118,0.298634,-0.531891,0.132363,-0.339055,-1.355423,0.167169,0.214338,-0.435617,-0.654724,-0.626082,0.708672,-0.37102,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.352554,-0.666727,-1.268974,0.531384,0.09585,0.189241,0.542118,0.357923,0.508119,1.269296,-0.095822,0.542357,0.825174,0.94515,-0.218811,0.454888,0.948227,0.951428,0.785694,0.785694,0.785694,0.785694,0.785694,0.785694,0.785694,0.785694,0.785694,0.785694,0.785694,0.785694,-0.693178,-1.59787,-0.126787,-0.380024,-0.725431,0.214566,-0.371791,0.851392,0.880174,-0.43218,0.455187,0.865666,0.841178,-0.017538,0.149524,1.908072,0.806542,0.031971,0.031971,0.031971,0.031971,0.031971,0.031971,0.031971,0.031971,0.031971,0.031971,0.031971,0.031971
125,-0.073529,-0.224947,-0.589709,-0.285508,0.915349,0.079102,-0.664845,-0.876792,0.292476,-0.340589,0.150818,-0.455148,-0.677505,0.008786,-0.272465,0.469527,-0.39403,0.355014,0.355014,0.355014,0.355014,0.355014,0.355014,0.355014,0.355014,0.355014,0.355014,0.355014,0.355014,-0.669004,-0.734367,-0.884187,-0.475808,-0.749333,-0.899458,-0.527206,-0.171051,-0.488054,-0.430857,-0.043421,-0.11211,-0.714627,-0.545259,-0.549928,-0.743791,-0.575663,0.28366,0.28366,0.28366,0.28366,0.28366,0.28366,0.28366,0.28366,0.28366,0.28366,0.28366,0.28366,-0.511056,-1.039867,-1.17842,0.413075,-1.277807,0.523937,0.598571,0.417629,-0.452554,0.240417,1.174793,-0.133415,-0.453512,-0.440072,0.37772,-0.775174,-0.579908,0.263573,0.263573,0.263573,0.263573,0.263573,0.263573,0.263573,0.263573,0.263573,0.263573,0.263573,0.263573,-0.830692,-0.923012,-0.927332,-0.012206,-0.498176,-0.996557,0.267626,0.805538,0.024653,-0.047468,-0.391043,-0.566769,-0.591995,-0.493628,-0.138655,-0.337692,-0.262606,0.44243,0.44243,0.44243,0.44243,0.44243,0.44243,0.44243,0.44243,0.44243,0.44243,0.44243,0.44243
828,1.816623,2.314939,0.320243,-1.506632,-1.401168,-0.443857,-0.198815,-0.605441,-1.023288,1.349803,-0.381358,0.896502,0.109724,-0.138158,0.848028,1.513742,-0.420469,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,-0.717237,0.280107,0.309456,-0.703351,-1.4028,-1.453902,-1.334807,-1.343036,-1.174618,-0.87217,-0.812623,-0.590866,-1.207514,-0.986371,-0.903471,-0.969917,-0.501116,-0.837911,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,-0.799916,4.473582,4.402149,1.645095,0.032797,2.304181,0.21135,-0.513749,-0.218238,0.850746,0.888488,1.10227,-0.442413,0.612427,0.0904,0.039,0.147679,-0.007007,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,-0.663736,1.934789,2.150802,-0.553887,0.284865,-0.150924,0.116311,-1.366087,-0.889309,-0.601985,-0.325375,-0.434823,-0.873712,-0.278122,-0.806671,-0.610461,-0.483943,-0.381068,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981,-0.741981
841,-0.129286,0.070967,1.050714,-0.299487,0.113114,-0.907969,0.034252,-0.197814,-0.474405,-0.71831,-1.275067,-0.244498,-1.266424,0.304906,-2.964938,-1.005794,0.535241,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.551013,-0.007233,0.105811,0.240546,-0.422238,-0.181085,0.204586,0.315957,0.142157,0.190255,0.991928,1.122137,0.343769,1.522783,1.292444,0.873123,1.904487,1.770579,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.663695,-0.121698,0.370298,2.523646,-0.541964,0.163092,-0.262391,1.16612,0.672954,0.191175,0.10226,0.782956,0.512668,3.28934,2.681639,4.364781,1.223032,0.705092,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,-0.556321,0.08562,0.301778,1.396136,1.212289,0.728125,1.058622,1.118878,-0.041005,0.011339,0.744803,0.04824,-0.113311,1.076068,1.178252,2.130048,0.962158,1.743042,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055,-0.697055
561,0.324224,0.229915,-0.341738,-1.05803,0.639419,-0.052593,-0.963444,-0.490468,-0.850502,0.556639,-0.160604,-1.161637,-1.198883,-0.381518,2.219732,-2.894214,2.630771,1.435474,1.435474,1.435474,1.435474,1.435474,1.435474,1.435474,1.435474,1.435474,1.435474,1.435474,1.435474,-0.509195,-0.440764,-0.768123,-0.967584,-0.529649,-0.820032,0.28295,0.491012,1.778713,0.164443,0.723856,-0.258089,-0.870441,0.417463,-0.640936,-0.913634,-0.120501,1.289837,1.289837,1.289837,1.289837,1.289837,1.289837,1.289837,1.289837,1.289837,1.289837,1.289837,1.289837,-0.40976,-0.670064,-0.794094,0.398784,-0.465251,-0.022107,1.052779,1.866654,0.897109,0.891902,0.701596,1.555339,0.735381,0.573519,-0.40047,1.238745,0.254249,4.239309,4.239309,4.239309,4.239309,4.239309,4.239309,4.239309,4.239309,4.239309,4.239309,4.239309,4.239309,-0.689716,-0.105882,-0.622847,0.040771,-0.208722,-0.359303,1.725227,2.173573,3.495646,1.019376,1.130306,0.856885,0.468319,0.934733,-0.225077,0.277792,1.104453,5.676302,5.676302,5.676302,5.676302,5.676302,5.676302,5.676302,5.676302,5.676302,5.676302,5.676302,5.676302
358,0.717798,2.967648,1.052736,-2.667745,1.429252,-1.701616,-1.314125,-1.849383,-0.756264,-0.754877,-0.86276,-0.384565,-1.939549,-0.52552,-2.016756,-1.353654,-0.854963,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.653621,-0.284768,-0.041443,-0.63186,-1.037876,-0.387696,-0.701769,-0.67221,-1.416575,-1.225177,-1.090189,-0.647345,-0.714906,0.145345,-0.495539,-0.73343,0.365285,1.333716,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,-0.730257,0.326322,2.603015,2.413377,3.543017,3.481198,-0.28099,-0.141018,-0.829569,-0.67021,-0.801379,-0.814578,-0.702049,-0.441106,-0.419267,0.509139,0.197892,0.10326,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.625665,-0.486085,0.017913,-0.654045,0.735165,1.20945,-0.294374,1.196714,0.026817,0.638366,1.226863,1.340472,1.399914,1.954207,1.251753,1.273429,1.995319,2.704116,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466,-0.668466
616,-0.643672,-0.620706,-0.715056,-0.250913,0.257822,0.719116,0.663251,1.204912,-0.490727,1.308405,0.720962,-0.722274,0.541492,-0.380443,1.039065,-1.561594,-0.50457,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.152895,-0.442446,-0.254446,-0.489614,-0.084507,0.30943,0.876649,0.998537,1.454316,0.660834,-0.034197,-0.099099,0.563374,-0.077933,0.162928,-0.165385,-0.596745,-0.137276,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.084756,-0.389044,-0.257968,-0.557636,-0.803143,-0.186355,1.454782,0.244356,1.45284,0.681598,-0.232111,-0.422583,0.117414,-0.262865,-0.287013,-0.104589,-0.253166,-0.234346,0.036504,0.036504,0.036504,0.036504,0.036504,0.036504,0.036504,0.036504,0.036504,0.036504,0.036504,0.036504,-0.408293,0.188662,-0.322623,0.069271,0.698252,0.754176,0.509077,1.807004,0.982636,-0.023314,0.039963,1.170619,-0.261631,0.057483,0.060524,-0.587688,-0.229314,0.125907,0.125907,0.125907,0.125907,0.125907,0.125907,0.125907,0.125907,0.125907,0.125907,0.125907,0.125907
44,0.54998,0.135961,-0.113773,0.568064,1.572521,-0.691834,0.18788,-0.593759,-0.322646,-0.596567,-0.719655,0.231009,-0.132821,0.749159,1.239848,1.077107,-0.534587,1.139964,1.139964,1.139964,1.139964,1.139964,1.139964,1.139964,1.139964,1.139964,1.139964,1.139964,1.139964,0.399233,0.564299,-0.158353,-0.056907,-0.202178,0.101354,-0.503051,-0.15129,-0.17817,-0.134008,-0.100945,0.160411,0.366944,-0.020837,0.058946,0.223775,0.413263,1.503457,1.503457,1.503457,1.503457,1.503457,1.503457,1.503457,1.503457,1.503457,1.503457,1.503457,1.503457,-0.3178,-0.560791,-0.454533,-1.343436,-0.884196,-1.464994,-1.107505,-1.117266,-0.848252,-1.247494,-1.061192,-1.167315,-0.589823,-0.813474,-0.89766,-1.000615,-0.515706,0.396823,0.396823,0.396823,0.396823,0.396823,0.396823,0.396823,0.396823,0.396823,0.396823,0.396823,0.396823,-0.619434,0.086563,-0.197519,0.081341,-0.101027,-0.257138,-1.067343,-0.967712,-1.016572,-0.903406,-1.22758,-0.965797,-0.616872,-0.84108,-0.920787,-0.819068,-0.512849,0.848806,0.848806,0.848806,0.848806,0.848806,0.848806,0.848806,0.848806,0.848806,0.848806,0.848806,0.848806
550,-0.724265,-0.679448,2.985604,0.364591,-1.021663,0.464763,0.493815,0.741185,1.715184,0.80742,0.709941,1.094795,0.461153,0.592394,0.736537,0.05699,1.237794,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,-0.721342,0.015483,-0.023331,3.468908,-0.218838,0.533295,1.702212,2.077681,0.014883,-1.004189,-0.451663,-0.675631,0.247529,0.798153,-0.714537,-0.758249,-0.900785,-0.7379,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,-0.7736,1.874056,1.341105,0.646763,-0.72748,-0.351192,-0.096409,-0.471016,-0.787258,-0.451995,-1.005169,-0.941471,-0.77099,-0.884791,-0.846832,-0.966306,-0.831901,-0.726528,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,-0.726282,1.889909,1.961634,-1.646102,0.074971,-0.187386,-1.17674,0.554783,-0.624272,-1.183996,-1.063503,-0.680912,-0.900648,-0.230464,-0.556642,-0.781283,-0.866209,-1.043017,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496,-0.815496
975,1.499039,1.375201,-0.087264,-1.833235,1.373616,-1.580439,-1.379658,0.484192,0.832419,-0.058559,0.075787,2.111833,-2.644851,1.549223,-1.340874,0.258266,-1.032815,0.990156,0.990156,0.990156,0.990156,0.990156,0.990156,0.990156,0.990156,0.990156,0.990156,0.990156,0.990156,-0.5972,-0.872324,-0.788856,-1.177238,-1.918565,-1.60199,-1.272304,-1.645479,-0.728547,-1.20829,-0.046753,0.905623,-0.805435,0.33143,-0.216356,-0.950102,0.851138,0.006574,0.006574,0.006574,0.006574,0.006574,0.006574,0.006574,0.006574,0.006574,0.006574,0.006574,0.006574,-0.602575,-1.169099,-1.392348,0.553193,-1.406452,-1.161966,-0.259232,-1.006266,-0.366874,-0.669403,0.191748,0.927176,-0.670572,0.439284,0.044716,-0.606125,-0.161495,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.016523,-0.384533,-1.421076,-1.105967,0.083353,-1.130298,-1.252942,-0.397431,-0.912955,-0.445393,-0.766391,1.182082,1.642494,-0.310152,0.283559,0.356494,-0.564925,0.702945,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405,-0.374405
