index,lat,long,Country
82,-35.3,149.12,Australia
137,-35.3,149.12,Australia
316,-35.3,149.12,Australia
376,-35.3,149.12,Australia
554,-35.3,149.12,Australia
660,-35.3,149.12,Australia
804,-35.3,149.12,Australia
901,-35.3,149.12,Australia
926,-35.3,149.12,Australia
954,-35.3,149.12,Australia
1021,-35.3,149.12,Australia
10,-15.75,-47.95,Brazil
106,-15.75,-47.95,Brazil
107,-15.75,-47.95,Brazil
202,-15.75,-47.95,Brazil
463,-15.75,-47.95,Brazil
474,-15.75,-47.95,Brazil
523,-15.75,-47.95,Brazil
535,-15.75,-47.95,Brazil
556,-15.75,-47.95,Brazil
704,-15.75,-47.95,Brazil
729,-15.75,-47.95,Brazil
750,-15.75,-47.95,Brazil
810,-15.75,-47.95,Brazil
834,-15.75,-47.95,Brazil
868,-15.75,-47.95,Brazil
911,-15.75,-47.95,Brazil
928,-15.75,-47.95,Brazil
946,-15.75,-47.95,Brazil
977,-15.75,-47.95,Brazil
1045,-15.75,-47.95,Brazil
51,-6.17,35.74,Tanzania
194,-6.17,35.74,Tanzania
261,-6.17,35.74,Tanzania
433,-6.17,35.74,Tanzania
513,-6.17,35.74,Tanzania
588,-6.17,35.74,Tanzania
611,-6.17,35.74,Tanzania
614,-6.17,35.74,Tanzania
831,-6.17,35.74,Tanzania
925,-6.17,35.74,Tanzania
948,-6.17,35.74,Tanzania
3,-6.17,106.82,Indonesia
88,-6.17,106.82,Indonesia
97,-6.17,106.82,Indonesia
142,-6.17,106.82,Indonesia
246,-6.17,106.82,Indonesia
455,-6.17,106.82,Indonesia
471,-6.17,106.82,Indonesia
515,-6.17,106.82,Indonesia
533,-6.17,106.82,Indonesia
562,-6.17,106.82,Indonesia
637,-6.17,106.82,Indonesia
661,-6.17,106.82,Indonesia
988,-6.17,106.82,Indonesia
1059,-6.17,106.82,Indonesia
19,-1.26,36.8,Kenya
31,-1.26,36.8,Kenya
76,-1.26,36.8,Kenya
103,-1.26,36.8,Kenya
205,-1.26,36.8,Kenya
228,-1.26,36.8,Kenya
468,-1.26,36.8,Kenya
482,-1.26,36.8,Kenya
501,-1.26,36.8,Kenya
613,-1.26,36.8,Kenya
643,-1.26,36.8,Kenya
666,-1.26,36.8,Kenya
671,-1.26,36.8,Kenya
698,-1.26,36.8,Kenya
720,-1.26,36.8,Kenya
727,-1.26,36.8,Kenya
814,-1.26,36.8,Kenya
853,-1.26,36.8,Kenya
1004,-1.26,36.8,Kenya
1039,-1.26,36.8,Kenya
1040,-1.26,36.8,Kenya
8,9.03,38.74,Ethiopia
89,9.03,38.74,Ethiopia
147,9.03,38.74,Ethiopia
169,9.03,38.74,Ethiopia
190,9.03,38.74,Ethiopia
417,9.03,38.74,Ethiopia
427,9.03,38.74,Ethiopia
451,9.03,38.74,Ethiopia
473,9.03,38.74,Ethiopia
527,9.03,38.74,Ethiopia
630,9.03,38.74,Ethiopia
644,9.03,38.74,Ethiopia
645,9.03,38.74,Ethiopia
651,9.03,38.74,Ethiopia
664,9.03,38.74,Ethiopia
753,9.03,38.74,Ethiopia
811,9.03,38.74,Ethiopia
885,9.03,38.74,Ethiopia
951,9.03,38.74,Ethiopia
969,9.03,38.74,Ethiopia
999,9.03,38.74,Ethiopia
1000,9.03,38.74,Ethiopia
558,11.55,104.91,Cambodia
577,11.55,104.91,Cambodia
967,11.55,104.91,Cambodia
1001,11.55,104.91,Cambodia
50,12.65,-8,Mali
53,12.65,-8,Mali
60,12.65,-8,Mali
111,12.65,-8,Mali
162,12.65,-8,Mali
195,12.65,-8,Mali
206,12.65,-8,Mali
247,12.65,-8,Mali
254,12.65,-8,Mali
272,12.65,-8,Mali
304,12.65,-8,Mali
312,12.65,-8,Mali
318,12.65,-8,Mali
328,12.65,-8,Mali
382,12.65,-8,Mali
387,12.65,-8,Mali
449,12.65,-8,Mali
453,12.65,-8,Mali
460,12.65,-8,Mali
465,12.65,-8,Mali
485,12.65,-8,Mali
496,12.65,-8,Mali
564,12.65,-8,Mali
565,12.65,-8,Mali
595,12.65,-8,Mali
657,12.65,-8,Mali
662,12.65,-8,Mali
668,12.65,-8,Mali
673,12.65,-8,Mali
705,12.65,-8,Mali
782,12.65,-8,Mali
790,12.65,-8,Mali
808,12.65,-8,Mali
823,12.65,-8,Mali
939,12.65,-8,Mali
960,12.65,-8,Mali
962,12.65,-8,Mali
966,12.65,-8,Mali
987,12.65,-8,Mali
1036,12.65,-8,Mali
14,13.75,100.48,Thailand
86,13.75,100.48,Thailand
112,13.75,100.48,Thailand
144,13.75,100.48,Thailand
203,13.75,100.48,Thailand
213,13.75,100.48,Thailand
257,13.75,100.48,Thailand
267,13.75,100.48,Thailand
293,13.75,100.48,Thailand
331,13.75,100.48,Thailand
732,13.75,100.48,Thailand
766,13.75,100.48,Thailand
818,13.75,100.48,Thailand
895,13.75,100.48,Thailand
963,13.75,100.48,Thailand
4,14.66,-17.41,Senegal
12,14.66,-17.41,Senegal
83,14.66,-17.41,Senegal
208,14.66,-17.41,Senegal
211,14.66,-17.41,Senegal
236,14.66,-17.41,Senegal
270,14.66,-17.41,Senegal
352,14.66,-17.41,Senegal
492,14.66,-17.41,Senegal
530,14.66,-17.41,Senegal
599,14.66,-17.41,Senegal
712,14.66,-17.41,Senegal
767,14.66,-17.41,Senegal
787,14.66,-17.41,Senegal
788,14.66,-17.41,Senegal
867,14.66,-17.41,Senegal
978,14.66,-17.41,Senegal
996,14.66,-17.41,Senegal
92,14.91,-23.51,Cape Verde
113,14.91,-23.51,Cape Verde
126,14.91,-23.51,Cape Verde
180,14.91,-23.51,Cape Verde
188,14.91,-23.51,Cape Verde
207,14.91,-23.51,Cape Verde
349,14.91,-23.51,Cape Verde
425,14.91,-23.51,Cape Verde
428,14.91,-23.51,Cape Verde
431,14.91,-23.51,Cape Verde
443,14.91,-23.51,Cape Verde
483,14.91,-23.51,Cape Verde
504,14.91,-23.51,Cape Verde
532,14.91,-23.51,Cape Verde
593,14.91,-23.51,Cape Verde
634,14.91,-23.51,Cape Verde
639,14.91,-23.51,Cape Verde
675,14.91,-23.51,Cape Verde
789,14.91,-23.51,Cape Verde
900,14.91,-23.51,Cape Verde
1033,14.91,-23.51,Cape Verde
1037,14.91,-23.51,Cape Verde
231,17.25,-88.76,Belize
290,17.25,-88.76,Belize
366,17.25,-88.76,Belize
447,17.25,-88.76,Belize
552,17.25,-88.76,Belize
730,17.25,-88.76,Belize
752,17.25,-88.76,Belize
1038,17.25,-88.76,Belize
373,17.98,-76.8,Jamaica
413,17.98,-76.8,Jamaica
420,17.98,-76.8,Jamaica
486,17.98,-76.8,Jamaica
579,17.98,-76.8,Jamaica
606,17.98,-76.8,Jamaica
713,17.98,-76.8,Jamaica
819,17.98,-76.8,Jamaica
847,17.98,-76.8,Jamaica
120,19.75,96.1,Myanmar
239,19.75,96.1,Myanmar
285,19.75,96.1,Myanmar
295,19.75,96.1,Myanmar
308,19.75,96.1,Myanmar
389,19.75,96.1,Myanmar
499,19.75,96.1,Myanmar
740,19.75,96.1,Myanmar
850,19.75,96.1,Myanmar
874,19.75,96.1,Myanmar
919,19.75,96.1,Myanmar
943,19.75,96.1,Myanmar
982,19.75,96.1,Myanmar
1024,19.75,96.1,Myanmar
66,23.76,121,Taiwan
286,23.76,121,Taiwan
360,23.76,121,Taiwan
426,23.76,121,Taiwan
476,23.76,121,Taiwan
538,23.76,121,Taiwan
544,23.76,121,Taiwan
621,23.76,121,Taiwan
784,23.76,121,Taiwan
852,23.76,121,Taiwan
958,23.76,121,Taiwan
994,23.76,121,Taiwan
1008,23.76,121,Taiwan
2,28.61,77.2,India
49,28.61,77.2,India
52,28.61,77.2,India
59,28.61,77.2,India
63,28.61,77.2,India
95,28.61,77.2,India
104,28.61,77.2,India
134,28.61,77.2,India
149,28.61,77.2,India
222,28.61,77.2,India
224,28.61,77.2,India
227,28.61,77.2,India
233,28.61,77.2,India
265,28.61,77.2,India
283,28.61,77.2,India
402,28.61,77.2,India
405,28.61,77.2,India
412,28.61,77.2,India
422,28.61,77.2,India
498,28.61,77.2,India
505,28.61,77.2,India
512,28.61,77.2,India
522,28.61,77.2,India
531,28.61,77.2,India
536,28.61,77.2,India
560,28.61,77.2,India
572,28.61,77.2,India
582,28.61,77.2,India
584,28.61,77.2,India
609,28.61,77.2,India
638,28.61,77.2,India
659,28.61,77.2,India
679,28.61,77.2,India
700,28.61,77.2,India
798,28.61,77.2,India
827,28.61,77.2,India
838,28.61,77.2,India
844,28.61,77.2,India
882,28.61,77.2,India
894,28.61,77.2,India
941,28.61,77.2,India
955,28.61,77.2,India
959,28.61,77.2,India
980,28.61,77.2,India
993,28.61,77.2,India
998,28.61,77.2,India
1042,28.61,77.2,India
164,30.03,31.21,Egypt
189,30.03,31.21,Egypt
193,30.03,31.21,Egypt
287,30.03,31.21,Egypt
305,30.03,31.21,Egypt
322,30.03,31.21,Egypt
324,30.03,31.21,Egypt
401,30.03,31.21,Egypt
472,30.03,31.21,Egypt
534,30.03,31.21,Egypt
683,30.03,31.21,Egypt
688,30.03,31.21,Egypt
707,30.03,31.21,Egypt
772,30.03,31.21,Egypt
791,30.03,31.21,Egypt
877,30.03,31.21,Egypt
889,30.03,31.21,Egypt
929,30.03,31.21,Egypt
25,33.66,73.16,Pakistan
37,33.66,73.16,Pakistan
57,33.66,73.16,Pakistan
105,33.66,73.16,Pakistan
241,33.66,73.16,Pakistan
297,33.66,73.16,Pakistan
400,33.66,73.16,Pakistan
404,33.66,73.16,Pakistan
454,33.66,73.16,Pakistan
629,33.66,73.16,Pakistan
632,33.66,73.16,Pakistan
709,33.66,73.16,Pakistan
837,33.66,73.16,Pakistan
879,33.66,73.16,Pakistan
898,33.66,73.16,Pakistan
906,33.66,73.16,Pakistan
933,33.66,73.16,Pakistan
952,33.66,73.16,Pakistan
992,33.66,73.16,Pakistan
1007,33.66,73.16,Pakistan
1020,33.66,73.16,Pakistan
27,34.03,-6.85,Morocco
45,34.03,-6.85,Morocco
96,34.03,-6.85,Morocco
148,34.03,-6.85,Morocco
167,34.03,-6.85,Morocco
249,34.03,-6.85,Morocco
250,34.03,-6.85,Morocco
300,34.03,-6.85,Morocco
395,34.03,-6.85,Morocco
399,34.03,-6.85,Morocco
475,34.03,-6.85,Morocco
495,34.03,-6.85,Morocco
526,34.03,-6.85,Morocco
545,34.03,-6.85,Morocco
551,34.03,-6.85,Morocco
574,34.03,-6.85,Morocco
578,34.03,-6.85,Morocco
699,34.03,-6.85,Morocco
706,34.03,-6.85,Morocco
751,34.03,-6.85,Morocco
755,34.03,-6.85,Morocco
770,34.03,-6.85,Morocco
892,34.03,-6.85,Morocco
1027,34.03,-6.85,Morocco
1028,34.03,-6.85,Morocco
1057,34.03,-6.85,Morocco
173,35.68,51.41,Iran
219,35.68,51.41,Iran
268,35.68,51.41,Iran
338,35.68,51.41,Iran
372,35.68,51.41,Iran
375,35.68,51.41,Iran
462,35.68,51.41,Iran
585,35.68,51.41,Iran
747,35.68,51.41,Iran
865,35.68,51.41,Iran
886,35.68,51.41,Iran
1006,35.68,51.41,Iran
1019,35.68,51.41,Iran
1029,35.68,51.41,Iran
1030,35.68,51.41,Iran
1050,35.68,51.41,Iran
1053,35.68,51.41,Iran
41,35.7,139.71,Japan
87,35.7,139.71,Japan
160,35.7,139.71,Japan
215,35.7,139.71,Japan
296,35.7,139.71,Japan
298,35.7,139.71,Japan
359,35.7,139.71,Japan
362,35.7,139.71,Japan
623,35.7,139.71,Japan
692,35.7,139.71,Japan
702,35.7,139.71,Japan
722,35.7,139.71,Japan
774,35.7,139.71,Japan
