index,lat,long
48,13.2648953978,26.1224853821
125,27.7149371661,40.5725271505
828,73.2542227022,86.1118126865
841,49.4488099342,62.3063999185
561,-31.6436425123,-18.7860525279
358,71.2727847869,84.1303747713
616,29.9873992494,42.8449892338
44,-12.1404640243,0.717125960021
550,-25.0926986396,-12.2351086552
975,8.80953351317,21.6671234975
497,62.5668221446,75.424412129
970,12.4442130903,25.3018030747
695,37.6899642344,50.5475542188
528,29.642530289,42.5001202734
319,0.789347018791,13.6469370031
708,72.3550956324,85.2126856167
829,1.92634560468,14.783935589
735,34.8095901406,47.6671801249
1009,14.9843373606,27.8419273449
529,9.80899861393,22.6665885983
385,41.9692869621,54.8268769464
897,11.3673083917,24.224898376
863,26.4243601867,39.2819501711
861,-31.4047372781,-18.5471472937
543,18.2769641228,31.1345541071
647,45.3634430018,58.2210329861
726,9.02840626829,21.8859962526
746,-8.24623392389,4.61135606046
77,-22.2127122433,-9.35512225899
229,51.1343480925,63.9919380768
55,-0.572199188167,12.2853907962
620,15.729814833,28.5874048174
445,30.2373727048,43.0949626891
199,4.5409446737,17.398534658
956,-1.69448092469,11.1631090597
145,4.15768618843,17.0152761728
38,7.63471302012,20.4923030045
321,51.4647223806,64.322312365
235,42.7921115906,55.649701575
29,40.1034153033,52.9610052877
73,44.4894548121,57.3470447965
284,3.15520636896,16.0127963533
991,49.43726833,62.2948583143
278,70.7334630183,83.5910530027
681,27.615333632,40.4729236164
935,6.82613645586,19.6837264402
378,-10.640169474,2.21742051031
131,38.343631057,51.2012210413
921,21.124411467,33.9820014513
179,56.6987383941,69.5563283785
633,0.750784598668,13.608374583
697,68.6025301733,81.4601201577
1052,42.9159502297,55.7735402141
356,-11.7948685125,1.06272147188
509,30.7833278219,43.6409178062
691,15.2919089197,28.1494989041
1054,19.1956090192,32.0531990035
502,50.8224000305,63.6799900149
896,42.3513645181,55.2089545024
490,28.2463710205,41.1039610048
913,31.6200394648,44.4776294491
43,22.769292495,35.6268824794
1012,76.3914483049,89.2490382892
178,9.68660899131,22.5441989757
652,-2.07069296715,10.7868970172
973,-7.14097358512,5.71661639923
342,10.4200547711,23.2776447555
604,-10.9350087355,1.92258124885
118,35.0545146395,47.9121046238
78,10.9198004329,23.7773904173
430,17.6761683357,30.5337583201
922,-21.9622926547,-9.1047026703
448,33.4017634566,46.2593534409
177,56.8717156517,69.729305636
779,5.15713746387,18.0147274482
899,4.21570057988,17.0732905642
130,42.7030155443,55.5606055287
332,10.6684686178,23.5260586021
540,79.7603351809,92.6179251652
367,17.5527596219,30.4103496063
628,21.9927241986,34.8503141829
403,36.0287295479,48.8863195323
915,33.7642012748,46.6217912592
1017,26.0425763496,38.900166334
754,62.5436155359,75.4012055203
557,5.40779313173,18.2653831161
36,-3.43618161926,9.42140836509
734,34.4183075496,47.2758975339
759,22.3728553684,35.2304453528
313,-65.5022833718,-52.6446933874
