"index","lat","long"
1,41.9,12.48
2,28.61,77.2
3,-6.17,106.82
4,14.66,-17.41
5,39.91,32.83
6,52.5,-0.12
8,9.03,38.74
10,-15.75,-47.95
12,14.66,-17.41
14,13.75,100.48
15,41.71,44.78
16,39.91,116.38
19,-1.26,36.8
20,38,23.71
21,41.9,12.48
23,44.41,26.1
25,33.66,73.16
26,52.5,-0.12
27,34.03,-6.85
31,-1.26,36.8
32,41.9,12.48
34,39.91,32.83
37,33.66,73.16
39,41.26,69.21
41,35.7,139.71
45,34.03,-6.85
49,28.61,77.2
50,12.65,-8
51,-6.17,35.74
52,28.61,77.2
53,12.65,-8
57,33.66,73.16
58,42.86,74.6
59,28.61,77.2
60,12.65,-8
61,41.9,12.48
62,44.41,26.1
63,28.61,77.2
66,23.76,121
68,36.7,3.21
69,41.33,19.8
74,38,23.71
76,-1.26,36.8
81,41.9,12.48
82,-35.3,149.12
83,14.66,-17.41
84,39.91,116.38
85,41.26,69.21
86,13.75,100.48
87,35.7,139.71
88,-6.17,106.82
89,9.03,38.74
90,41.9,12.48
91,41.9,12.48
92,14.91,-23.51
93,39.91,116.38
95,28.61,77.2
96,34.03,-6.85
97,-6.17,106.82
98,41.9,12.48
101,39.91,116.38
102,41.71,44.78
103,-1.26,36.8
104,28.61,77.2
105,33.66,73.16
106,-15.75,-47.95
107,-15.75,-47.95
111,12.65,-8
112,13.75,100.48
113,14.91,-23.51
114,41.9,12.48
115,41.33,19.8
117,41.26,69.21
120,19.75,96.1
123,44.41,26.1
124,41.26,69.21
126,14.91,-23.51
128,52.5,-0.12
132,54.68,25.31
133,38,23.71
134,28.61,77.2
137,-35.3,149.12
138,41.9,12.48
142,-6.17,106.82
143,39.91,32.83
144,13.75,100.48
147,9.03,38.74
148,34.03,-6.85
149,28.61,77.2
151,41.33,19.8
153,41.9,12.48
155,39.91,116.38
160,35.7,139.71
161,39.91,116.38
162,12.65,-8
163,41.26,69.21
164,30.03,31.21
166,41.9,12.48
167,34.03,-6.85
169,9.03,38.74
173,35.68,51.41
174,38,23.71
176,41.71,44.78
180,14.91,-23.51
181,39.91,32.83
183,36.7,3.21
184,54.68,25.31
185,39.91,32.83
186,41.33,19.8
188,14.91,-23.51
189,30.03,31.21
190,9.03,38.74
192,44.41,26.1
193,30.03,31.21
194,-6.17,35.74
195,12.65,-8
200,39.91,32.83
202,-15.75,-47.95
203,13.75,100.48
205,-1.26,36.8
206,12.65,-8
207,14.91,-23.51
208,14.66,-17.41
211,14.66,-17.41
213,13.75,100.48
215,35.7,139.71
216,41.26,69.21
219,35.68,51.41
221,38,23.71
222,28.61,77.2
223,41.9,12.48
224,28.61,77.2
225,39.91,116.38
227,28.61,77.2
228,-1.26,36.8
231,17.25,-88.76
233,28.61,77.2
236,14.66,-17.41
239,19.75,96.1
240,39.91,116.38
241,33.66,73.16
242,39.91,116.38
243,41.26,69.21
245,41.33,19.8
246,-6.17,106.82
247,12.65,-8
249,34.03,-6.85
250,34.03,-6.85
251,44.41,26.1
252,52.5,-0.12
253,39.91,116.38
254,12.65,-8
257,13.75,100.48
259,41.9,12.48
261,-6.17,35.74
263,42.86,74.6
264,38,23.71
265,28.61,77.2
267,13.75,100.48
268,35.68,51.41
269,36.7,3.21
270,14.66,-17.41
271,41.33,19.8
272,12.65,-8
273,36.7,3.21
276,41.71,44.78
277,38,23.71
279,38,23.71
281,41.26,69.21
283,28.61,77.2
285,19.75,96.1
286,23.76,121
287,30.03,31.21
288,41.9,12.48
289,54.68,25.31
290,17.25,-88.76
292,41.9,12.48
293,13.75,100.48
295,19.75,96.1
296,35.7,139.71
297,33.66,73.16
298,35.7,139.71
300,34.03,-6.85
301,52.5,-0.12
302,39.91,116.38
304,12.65,-8
305,30.03,31.21
306,52.5,-0.12
307,41.9,12.48
308,19.75,96.1
310,41.71,44.78
311,41.33,19.8
312,12.65,-8
314,52.5,-0.12
316,-35.3,149.12
318,12.65,-8
322,30.03,31.21
323,41.9,12.48
324,30.03,31.21
328,12.65,-8
330,39.91,116.38
331,13.75,100.48
334,39.91,116.38
335,39.91,32.83
338,35.68,51.41
340,39.91,32.83
343,39.91,32.83
345,44.41,26.1
346,38,23.71
349,14.91,-23.51
352,14.66,-17.41
355,39.91,32.83
357,39.91,32.83
359,35.7,139.71
360,23.76,121
361,38,23.71
362,35.7,139.71
363,42.86,74.6
364,39.91,32.83
365,38,23.71
366,17.25,-88.76
370,41.71,44.78
371,42.86,74.6
372,35.68,51.41
373,17.98,-76.8
374,38,23.71
375,35.68,51.41
376,-35.3,149.12
377,41.26,69.21
381,54.68,25.31
382,12.65,-8
383,41.33,19.8
387,12.65,-8
388,41.9,12.48
389,19.75,96.1
392,44.41,26.1
393,41.71,44.78
394,41.33,19.8
395,34.03,-6.85
398,54.68,25.31
399,34.03,-6.85
400,33.66,73.16
401,30.03,31.21
402,28.61,77.2
404,33.66,73.16
405,28.61,77.2
408,41.26,69.21
412,28.61,77.2
413,17.98,-76.8
417,9.03,38.74
420,17.98,-76.8
421,39.91,32.83
422,28.61,77.2
423,41.26,69.21
424,54.68,25.31
425,14.91,-23.51
426,23.76,121
427,9.03,38.74
428,14.91,-23.51
431,14.91,-23.51
433,-6.17,35.74
434,39.91,32.83
435,41.26,69.21
436,39.91,116.38
437,41.71,44.78
438,39.91,32.83
441,41.9,12.48
443,14.91,-23.51
444,39.91,116.38
447,17.25,-88.76
449,12.65,-8
451,9.03,38.74
452,36.7,3.21
453,12.65,-8
454,33.66,73.16
455,-6.17,106.82
456,36.7,3.21
457,38,23.71
458,41.26,69.21
460,12.65,-8
461,42.86,74.6
462,35.68,51.41
463,-15.75,-47.95
465,12.65,-8
466,41.26,69.21
468,-1.26,36.8
471,-6.17,106.82
472,30.03,31.21
473,9.03,38.74
474,-15.75,-47.95
475,34.03,-6.85
476,23.76,121
481,39.91,32.83
482,-1.26,36.8
483,14.91,-23.51
485,12.65,-8
486,17.98,-76.8
492,14.66,-17.41
493,41.9,12.48
495,34.03,-6.85
496,12.65,-8
498,28.61,77.2
499,19.75,96.1
501,-1.26,36.8
503,36.7,3.21
504,14.91,-23.51
505,28.61,77.2
512,28.61,77.2
513,-6.17,35.74
514,39.91,32.83
515,-6.17,106.82
516,39.91,116.38
519,38,23.71
520,39.91,116.38
522,28.61,77.2
523,-15.75,-47.95
524,44.41,26.1
526,34.03,-6.85
527,9.03,38.74
530,14.66,-17.41
531,28.61,77.2
532,14.91,-23.51
533,-6.17,106.82
534,30.03,31.21
535,-15.75,-47.95
536,28.61,77.2
538,23.76,121
539,52.5,-0.12
541,38,23.71
544,23.76,121
545,34.03,-6.85
547,54.68,25.31
548,41.26,69.21
551,34.03,-6.85
552,17.25,-88.76
553,38,23.71
554,-35.3,149.12
555,54.68,25.31
556,-15.75,-47.95
558,11.55,104.91
560,28.61,77.2
562,-6.17,106.82
563,39.91,32.83
564,12.65,-8
565,12.65,-8
566,39.91,32.83
572,28.61,77.2
573,39.91,32.83
574,34.03,-6.85
576,41.26,69.21
577,11.55,104.91
578,34.03,-6.85
579,17.98,-76.8
581,36.7,3.21
582,28.61,77.2
584,28.61,77.2
585,35.68,51.41
587,54.68,25.31
588,-6.17,35.74
590,54.68,25.31
591,41.9,12.48
592,41.9,12.48
593,14.91,-23.51
595,12.65,-8
596,36.7,3.21
598,41.9,12.48
599,14.66,-17.41
601,41.71,44.78
606,17.98,-76.8
609,28.61,77.2
611,-6.17,35.74
613,-1.26,36.8
614,-6.17,35.74
618,39.91,116.38
619,41.71,44.78
621,23.76,121
623,35.7,139.71
624,54.68,25.31
625,41.9,12.48
629,33.66,73.16
630,9.03,38.74
631,52.5,-0.12
632,33.66,73.16
634,14.91,-23.51
635,39.91,32.83
636,54.68,25.31
637,-6.17,106.82
638,28.61,77.2
639,14.91,-23.51
642,38,23.71
643,-1.26,36.8
644,9.03,38.74
645,9.03,38.74
646,41.9,12.48
649,39.91,32.83
651,9.03,38.74
653,39.91,116.38
657,12.65,-8
659,28.61,77.2
660,-35.3,149.12
661,-6.17,106.82
662,12.65,-8
664,9.03,38.74
666,-1.26,36.8
668,12.65,-8
671,-1.26,36.8
673,12.65,-8
674,41.26,69.21
675,14.91,-23.51
676,41.26,69.21
679,28.61,77.2
680,39.91,32.83
682,36.7,3.21
683,30.03,31.21
685,36.7,3.21
686,36.7,3.21
687,36.7,3.21
688,30.03,31.21
690,39.91,32.83
692,35.7,139.71
698,-1.26,36.8
699,34.03,-6.85
700,28.61,77.2
702,35.7,139.71
704,-15.75,-47.95
705,12.65,-8
706,34.03,-6.85
707,30.03,31.21
709,33.66,73.16
710,38,23.71
712,14.66,-17.41
713,17.98,-76.8
714,36.7,3.21
715,41.26,69.21
718,36.7,3.21
720,-1.26,36.8
722,35.7,139.71
723,41.26,69.21
724,39.91,32.83
727,-1.26,36.8
728,44.41,26.1
729,-15.75,-47.95
730,17.25,-88.76
731,44.41,26.1
732,13.75,100.48
733,36.7,3.21
736,41.71,44.78
739,52.5,-0.12
740,19.75,96.1
741,41.71,44.78
742,39.91,32.83
747,35.68,51.41
749,38,23.71
750,-15.75,-47.95
751,34.03,-6.85
752,17.25,-88.76
753,9.03,38.74
755,34.03,-6.85
756,41.71,44.78
757,41.26,69.21
760,41.33,19.8
763,39.91,32.83
764,39.91,116.38
766,13.75,100.48
767,14.66,-17.41
769,39.91,32.83
770,34.03,-6.85
772,30.03,31.21
774,35.7,139.71
775,39.91,32.83
776,42.86,74.6
780,41.9,12.48
781,38,23.71
782,12.65,-8
784,23.76,121
785,41.26,69.21
787,14.66,-17.41
788,14.66,-17.41
789,14.91,-23.51
790,12.65,-8
791,30.03,31.21
792,35.7,139.71
798,28.61,77.2
802,38,23.71
803,42.86,74.6
804,-35.3,149.12
807,38,23.71
808,12.65,-8
810,-15.75,-47.95
811,9.03,38.74
812,41.71,44.78
813,41.9,12.48
814,-1.26,36.8
815,35.7,139.71
816,42.86,74.6
818,13.75,100.48
819,17.98,-76.8
820,42.86,74.6
821,41.26,69.21
822,54.68,25.31
823,12.65,-8
824,39.91,32.83
826,39.91,116.38
827,28.61,77.2
831,-6.17,35.74
833,41.9,12.48
834,-15.75,-47.95
835,41.71,44.78
837,33.66,73.16
838,28.61,77.2
844,28.61,77.2
845,38,23.71
847,17.98,-76.8
850,19.75,96.1
852,23.76,121
853,-1.26,36.8
859,52.5,-0.12
862,41.26,69.21
865,35.68,51.41
867,14.66,-17.41
868,-15.75,-47.95
869,39.91,116.38
870,39.91,32.83
871,39.91,116.38
872,41.9,12.48
874,19.75,96.1
876,41.26,69.21
877,30.03,31.21
879,33.66,73.16
882,28.61,77.2
885,9.03,38.74
886,35.68,51.41
887,41.26,69.21
889,30.03,31.21
890,39.91,32.83
892,34.03,-6.85
893,39.91,32.83
894,28.61,77.2
895,13.75,100.48
898,33.66,73.16
900,14.91,-23.51
901,-35.3,149.12
906,33.66,73.16
909,41.33,19.8
910,41.9,12.48
911,-15.75,-47.95
912,44.41,26.1
916,42.86,74.6
919,19.75,96.1
923,39.91,32.83
925,-6.17,35.74
926,-35.3,149.12
927,41.9,12.48
928,-15.75,-47.95
929,30.03,31.21
932,39.91,116.38
933,33.66,73.16
936,36.7,3.21
937,39.91,32.83
939,12.65,-8
941,28.61,77.2
942,36.7,3.21
943,19.75,96.1
946,-15.75,-47.95
948,-6.17,35.74
951,9.03,38.74
952,33.66,73.16
954,-35.3,149.12
955,28.61,77.2
