index,lat,long
48,-33.4013758832,-33.4013758832
125,-32.1252298086,-32.1252298086
828,-28.2399973423,-28.2399973423
841,-33.4647917291,-33.4647917291
561,-54.7715188286,-54.7715188286
358,-29.1235824568,-29.1235824568
616,-33.7174978196,-33.7174978196
44,-35.9949730333,-35.9949730333
550,-28.0649980172,-28.0649980172
975,-30.5877681549,-30.5877681549
497,-33.865841396,-33.865841396
970,-39.3903963869,-39.3903963869
695,-44.2689604385,-44.2689604385
528,-25.7036568302,-25.7036568302
319,-35.1089984971,-35.1089984971
708,-39.4949622105,-39.4949622105
829,-27.361321751,-27.361321751
735,-28.9649705466,-28.9649705466
1009,-31.7791054083,-31.7791054083
529,-29.7661692995,-29.7661692995
385,-27.9784830013,-27.9784830013
897,-45.0714857859,-45.0714857859
863,-30.4054676109,-30.4054676109
861,-32.4890446772,-32.4890446772
543,-29.7413290244,-29.7413290244
647,-33.8199299634,-33.8199299634
726,-32.381511605,-32.381511605
746,-27.2257246105,-27.2257246105
77,-50.2412750538,-50.2412750538
229,-26.7946708747,-26.7946708747
55,-40.7043586982,-40.7043586982
620,-28.1518912958,-28.1518912958
445,-39.4035067736,-39.4035067736
199,-39.6141065293,-39.6141065293
956,-35.8457496082,-35.8457496082
145,-27.8417952123,-27.8417952123
38,-31.8216334765,-31.8216334765
321,-31.3623417893,-31.3623417893
235,-22.2688664699,-22.2688664699
29,-27.1959788249,-27.1959788249
73,-36.407596495,-36.407596495
284,-51.7543879867,-51.7543879867
991,-29.4451724826,-29.4451724826
278,-38.151375698,-38.151375698
681,-37.1054558355,-37.1054558355
935,-33.5208056378,-33.5208056378
378,-43.1905315199,-43.1905315199
131,-33.4864506117,-33.4864506117
921,-38.0014174161,-38.0014174161
179,-31.7606568095,-31.7606568095
633,-27.5150630611,-27.5150630611
697,-34.3324668049,-34.3324668049
1052,-26.4798625584,-26.4798625584
356,-34.5487205711,-34.5487205711
509,-23.2396911579,-23.2396911579
691,-27.1414541583,-27.1414541583
1054,-27.1337380276,-27.1337380276
502,-34.3806630618,-34.3806630618
896,-31.2302026492,-31.2302026492
490,-28.6767904252,-28.6767904252
913,-24.499121446,-24.499121446
43,-25.7537029361,-25.7537029361
1012,-33.6815498903,-33.6815498903
178,-34.4909535192,-34.4909535192
652,-28.4654699908,-28.4654699908
973,-24.5326442407,-24.5326442407
342,-31.824259513,-31.824259513
604,-30.8694027802,-30.8694027802
118,-26.4157665619,-26.4157665619
78,-44.3075356082,-44.3075356082
430,-36.3457585715,-36.3457585715
922,-34.9357212837,-34.9357212837
448,-33.0114814878,-33.0114814878
177,-30.670668408,-30.670668408
779,-31.9996467313,-31.9996467313
899,-46.0970944939,-46.0970944939
130,-24.8894521542,-24.8894521542
332,-41.8215924459,-41.8215924459
540,-30.7243623145,-30.7243623145
367,-26.0401133285,-26.0401133285
628,-28.7485818202,-28.7485818202
403,-29.1390548452,-29.1390548452
915,-31.8708634018,-31.8708634018
1017,-28.6656905288,-28.6656905288
