index,lat,long
48,-27.497946957,-27.497946957
125,-26.191507027,-26.191507027
828,-22.2140447814,-22.2140447814
841,-27.5628682031,-27.5628682031
561,-49.3753860768,-49.3753860768
358,-23.118604924,-23.118604924
616,-27.8215731693,-27.8215731693
44,-30.1531123388,-30.1531123388
550,-22.0348912263,-22.0348912263
975,-24.6175482652,-24.6175482652
497,-27.9734382069,-27.9734382069
970,-33.6291381143,-33.6291381143
695,-38.6235121952,-38.6235121952
528,-19.6174952271,-19.6174952271
319,-29.2461060531,-29.2461060531
708,-33.7361861787,-33.7361861787
829,-21.314510707,-21.314510707
735,-22.9562277972,-22.9562277972
1009,-25.8371661358,-25.8371661358
529,-23.7764458456,-23.7764458456
385,-21.9463224695,-21.9463224695
897,-39.4450883295,-39.4450883295
863,-24.430920171,-24.430920171
861,-26.5639583325,-26.5639583325
543,-23.7510158984,-23.7510158984
647,-27.9264369035,-27.9264369035
726,-26.4538725812,-26.4538725812
746,-21.1756946872,-21.1756946872
77,-44.7376008905,-44.7376008905
229,-20.7344083613,-20.7344083613
55,-34.9742919836,-34.9742919836
620,-22.1238472252,-22.1238472252
445,-33.6425597226,-33.6425597226
199,-33.8581588108,-33.8581588108
956,-30.0003465662,-30.0003465662
145,-21.8063899108,-21.8063899108
38,-25.8807037586,-25.8807037586
321,-25.4105091534,-25.4105091534
235,-16.1011679292,-16.1011679292
29,-21.1452427798,-21.1452427798
73,-30.5755308826,-30.5755308826
284,-46.2866329281,-46.2866329281
991,-23.4478290302,-23.4478290302
278,-32.3607048727,-32.3607048727
681,-31.2899563908,-31.2899563908
935,-27.6202118007,-27.6202118007
378,-37.5194829394,-37.5194829394
131,-27.5850412361,-27.5850412361
921,-32.2071867989,-32.2071867989
179,-25.8182795941,-25.8182795941
633,-21.4719016126,-21.4719016126
697,-28.4511406257,-28.4511406257
1052,-20.4121269526,-20.4121269526
356,-28.6725279425,-28.6725279425
509,-17.0950385862,-17.0950385862
691,-21.0894237768,-21.0894237768
1054,-21.0815244763,-21.0815244763
502,-28.5004809918,-28.5004809918
896,-25.2752332219,-25.2752332219
490,-22.6612066981,-22.6612066981
913,-18.3843659212,-18.3843659212
43,-19.6687293549,-19.6687293549
1012,-27.7847718883,-27.7847718883
178,-28.6133895846,-28.6133895846
652,-22.4448698233,-22.4448698233
