index,lat,long
48,-26.89178089,-40.1194702625
125,-25.5822303767,-38.8777985557
828,-21.5952979464,-35.0975234573
841,-26.9568567111,-40.1811729651
561,-48.8213093516,-60.9123108265
358,-22.5020118119,-35.9572390174
616,-27.2161776439,-40.4270523428
44,-29.5532681185,-42.6430028456
550,-21.4157178336,-34.9272516404
975,-24.0045240796,-37.381870563
497,-27.3684042663,-40.571388501
970,-33.0375701778,-45.9467007488
695,-38.0438356714,-50.6934731389
528,-18.9925661073,-32.6297007563
319,-28.6441022857,-41.7809624128
708,-33.1448731196,-46.0484417855
829,-20.6936221159,-34.2425847925
735,-22.3392480715,-35.8029119186
1009,-25.2270458135,-38.5410245112
529,-23.1614190274,-36.5824667382
385,-21.326938198,-34.843073779
897,-38.8673679469,-51.4743187159
863,-23.8174516311,-37.2044947657
861,-25.9555684745,-39.2317851705
543,-23.1359285326,-36.5582975092
647,-27.3212910546,-40.5267173398
726,-25.8452206132,-39.1271570436
746,-20.5544755805,-34.1106507324
77,-44.1724817769,-56.5044490369
229,-20.1121385689,-33.6912416706
55,-34.3859268068,-47.2251671079
620,-21.5048856333,-35.011797546
445,-33.0510237424,-45.9594569658
199,-33.2671361637,-46.1643674876
956,-29.4001386165,-42.4978106074
145,-21.1866724652,-34.7100785337
38,-25.2706870977,-38.5824037076
321,-24.7993729772,-38.1355195267
235,-15.4678665694,-29.287699324
29,-20.5239511683,-34.0817085124
73,-29.9766924246,-43.0444795168
284,-45.7252020003,-57.9766860758
991,-22.8320197881,-36.2701414697
278,-31.7661168454,-44.7411515063
681,-30.6928189525,-43.7234865801
935,-27.0143368416,-40.2356736896
378,-36.9371777644,-49.6441773704
131,-26.9790825372,-40.2022467451
921,-31.6122332509,-44.595244263
179,-25.2081143036,-38.523074291
633,-20.8513877632,-34.3921728676
697,-27.8472440762,-41.0254082871
1052,-19.7890898205,-33.3849377237
356,-28.0691585076,-41.2358200796
509,-16.4641035942,-30.2322977296
691,-20.4679992624,-34.028656799
1054,-20.4600811539,-34.0211491152
502,-27.8967019198,-41.0723025493
896,-24.6637749589,-38.0069500511
490,-22.0435245384,-35.522516821
