index,lat,long
48,27.994997317,50.9460981951
125,34.5001219465,35.9959213307
828,28.2977375983,71.3614326388
841,18.1356075513,59.7996313774
561,40.4973522962,12.2885090261
358,31.5442040405,72.0815729385
616,29.055021675,42.4604221936
44,25.5403413566,-3.8787077334
550,19.6601646642,2.080273027
975,37.8189049551,21.6576101202
497,28.3683535129,87.9495153805
970,31.358987645,3.85155250557
695,39.5104361516,64.9262762295
528,26.7821836963,31.4645646981
319,21.1076954244,18.1681831257
708,21.1266622014,81.640548658
829,24.0737656546,13.2833726521
735,33.6837682129,60.5527722288
1009,32.4104499517,24.5780274713
529,29.9558723518,22.9212052534
385,28.1756314904,43.8454391472
897,19.6115206843,7.53455122605
863,20.5582057082,15.2162800415
861,19.2131168519,12.4979804343
543,30.1311053544,28.133498693
647,17.3924154145,57.5112717808
726,21.0530300342,18.2896737422
746,23.0291391797,25.2709149062
77,26.5218959363,-5.07732362402
229,31.2440649395,71.2279120229
55,19.5012794136,30.1252645954
620,19.9688640404,34.2736557886
445,30.5254877237,50.9757497798
199,21.5381391003,11.1034520918
956,23.6482814946,24.4093433217
145,40.770301173,38.0709755664
38,38.9494797221,27.8900064613
321,28.3513764068,42.1067742487
235,34.0369737122,53.0381747341
29,21.7522769403,48.2203581272
73,14.8578063463,57.9690166859
284,38.5006509249,12.0290439993
991,32.0285207681,57.2943392977
278,29.4592896944,47.6271472669
681,14.8144861382,23.5008899461
935,34.6757189181,19.5238865306
378,23.4659463615,11.4133115529
131,29.7246009224,49.9328691398
921,30.6491699145,22.006061125
179,23.0461656091,53.8588270664
633,25.5469448142,6.24579511863
697,28.3849475421,59.6995919128
1052,26.0916453291,49.2997807859
356,20.0495062718,3.87782222296
509,29.6372807332,35.0469461862
691,32.6947752256,16.9047831289
1054,31.629213333,26.7312605932
502,37.7502251528,112.261568992
896,21.7668739934,56.7844695205
490,19.7891134152,37.1208720857
913,22.0834013085,41.4906403508
43,31.3061990715,35.7477377903
1012,39.2700350766,58.8603786393
178,31.6827980405,17.8913835009
652,25.1095402297,16.7701745647
973,28.3849630463,4.49178532191
342,19.5048474264,5.87435005994
604,21.9592370997,12.7094313681
118,28.5941399226,38.2953609561
78,28.4079446527,3.7920514751
430,22.3560833731,27.3251433463
922,14.322696889,18.0110254022
448,41.8837967403,35.7255151858
177,37.4940966014,43.1454387891
779,28.6632971598,4.07153855128
899,27.1341522502,22.2367737868
130,30.1987427247,57.1989214492
332,35.9014950671,6.00381449864
540,38.3527680119,65.9207953078
367,26.3828820411,32.3152686791
628,21.5719156848,31.6169415667
403,20.8758031773,44.1516297545
915,19.8004286968,31.2060318895
1017,40.3300317089,34.2716769624
754,20.2432910441,70.3706030392
557,25.9781501354,33.5952897428
36,8.63267664349,49.1852421022
734,27.9558321732,50.968084269
759,37.0157932441,43.3704454933
313,23.3131264738,-52.9232340694
930,28.9751930693,-0.968523033907
116,30.3596083039,61.4055805365
244,31.0736642496,7.79917934985
920,26.747661871,67.8350658614
204,26.6333563922,16.7041829158
42,22.7957000678,61.5833577741
1051,26.4735807541,66.3036156023
622,24.341603815,32.1696584431
583,31.7393146655,68.9416080263
801,29.9548055716,45.1843109791
469,18.9903445513,62.4858469977
842,20.5628188054,27.6574451484
758,28.7788567195,16.5373407201
489,31.576157845,52.8291552193
761,31.3831007521,20.1837790406
839,34.8806503942,39.2736056887
353,27.6711965705,35.0056333117
777,27.3262350494,33.6425313887
689,30.2204210615,19.5675671016
934,40.3889904361,68.0685338754
517,29.4576346261,-23.6314016741
175,23.6273146927,33.77483249
380,25.9759942443,31.9904161658
1002,22.0849236833,4.55910048412
255,23.7249304934,40.3356612941
608,23.4470811722,37.5097757339
320,33.9276525751,25.2062786307
931,20.0398302847,30.7835085283
627,34.3971766054,78.3699339955
80,26.5230113926,55.6015612374
500,22.0987476647,78.8156330115
237,27.0071297101,39.3170968172
406,24.3304028384,51.8516858845
979,29.7048559194,64.204017196
521,41.804789376,36.4680683312
945,38.6131493983,64.143313673
669,23.6993253345,22.1826478833
748,33.3607777163,15.5673399904
416,36.1661596498,58.7882817568
150,23.9782234038,24.6063903021
220,28.6482931217,4.12997053013
419,20.4172410088,32.8530120816
615,24.9888130238,38.0791051535
429,25.1438975446,26.2131831123
317,25.8836625204,42.5709165554
799,35.6875753737,69.3068917445
40,26.568909,34.8959795792
711,25.7889195412,33.1300628957
663,32.4679142323,22.5383901145
30,19.5041342717,27.4325498345
904,34.1456652765,44.7957607281
410,33.0935871771,31.3050669149
525,27.5867625273,37.6352208895
347,25.4502126322,98.8529822403
341,33.2273916666,26.2412376981
546,26.0381590575,47.33009952
386,28.2993611908,36.0745561296
875,24.8555226151,20.7494089958
888,27.746292458,69.6264521043
1034,28.5882319009,23.1930765888
783,27.3818763904,13.4231893731
640,9.37627277762,-11.3742054949
800,24.0313303688,15.9610497907
79,30.0616070121,13.2487782379
809,29.9828337126,38.7653063185
294,23.7015827518,32.3223919073
762,40.2800003937,69.4989670936
602,21.4932235224,12.9595676734
315,17.2752465633,22.6337637848
672,38.5677036274,6.98134803163
805,30.0834525021,26.1668034638
1013,34.0484741297,56.5308451774
446,34.9379171858,27.8239049141
409,37.5715912344,49.1417695024
626,32.2647762502,35.1973824029
182,16.8062625053,69.4972812754
858,18.4550012781,2.32963056584
684,28.2523324355,49.6063071336
439,35.6025175293,17.1816653235
478,19.0380605627,-10.8168682952
1003,22.8674463148,38.1326882715
344,24.1413909832,37.9061054088
944,38.2393851332,9.50059988938
154,31.1230858126,27.7306851529
391,23.2538839398,33.37354983
693,25.3483337945,51.7465809882
325,40.8423069524,35.045440724
440,47.0888649056,-6.22195129874
1022,21.0499665657,38.00441786
467,35.6279248948,65.0003514032
725,22.0838045664,17.4844608411
795,45.5442812398,41.133480077
817,32.9381248029,41.4774621079
159,23.8432551824,3.04550437917
765,23.9018420876,52.8759593797
390,30.8735969032,32.0222676083
947,22.3645439429,7.61465313697
612,51.1028513785,4.67047499516
230,26.3273337437,18.5117766171
110,31.9215277912,2.05779779405
17,26.2782098949,91.3409086304
210,34.9419269592,43.5167733194
986,26.3163026635,72.9294841267
855,34.8362830635,43.0475808745
972,31.6119351766,50.2626088479
47,23.9941984817,36.7439480037
480,23.7822582425,82.0407635672
846,35.0092388574,75.4785745617
212,32.7642422576,46.4984055581
903,26.8964724584,40.4197536706
594,23.6013272214,44.0801076388
484,23.0589263803,47.334707072
1011,33.3069448628,59.5904691481
1048,29.6296802205,43.0634013674
918,16.8254592588,6.13590390579
488,22.0314770838,23.6075519953
806,31.1406746271,39.6170901272
397,30.7881740406,60.8774380247
140,25.8067327919,29.7394386583
214,20.6995829573,33.2215082895
793,37.910353278,74.7380851653
146,32.72807976,36.934977623
641,29.0915265685,60.5751908777
336,22.6018563487,69.3662721678
260,15.5460601358,36.2752684485
786,43.9514544277,77.680704342
411,27.8212213654,13.5226888627
1015,32.5079356699,4.42298323539
209,40.6093286795,53.6827066934
953,29.7743603706,20.6023768849
119,34.420335795,47.8274711195
830,40.3496348943,76.7512114763
494,22.0097315775,24.1560579698
56,24.7700036083,33.6794736227
232,5.68103558253,40.9420885894
864,34.9695764349,-17.4657865479
339,37.1662448479,65.9226806656
191,29.8229508074,32.760299062
878,36.6003779745,55.3059277163
938,24.4007663487,42.8520006561
274,26.269830711,68.8909659718
464,21.668611108,34.2956040143
369,16.6776406244,30.0208671539
884,17.227800281,69.2981244663
165,30.1775516441,56.2793492494
940,23.2862115064,44.6668755179
510,28.4632023292,41.6341059158
1032,30.9342380415,22.2303113277
883,15.0536595026,39.3425595283
610,31.6575538844,0.392614485472
109,46.0048622746,8.81346104141
415,27.6571950742,28.8794486641
589,20.1351461128,35.5065313311
737,35.6545024767,53.2120101934
35,14.2217410806,55.5420829404
719,30.8188417593,-0.564899610846
477,38.2694335314,23.2365786472
75,33.2507224521,16.7865407346
1016,28.7293448402,15.8667220254
170,12.6592718667,53.3197822446
908,20.7403992022,-11.0910414369
701,29.0055215251,48.3527847653
569,31.3710745251,35.3404050292
384,33.809918984,58.9763899541
650,30.1355102386,23.482596834
665,24.631231156,23.5339782808
507,28.8444525435,50.8097744281
983,29.5605646088,59.6192803647
470,21.5159228266,56.1368689282
256,37.8979608556,72.988772742
506,32.6482468441,31.5975197558
917,29.185030814,48.4977960617
656,27.0281444101,41.7879550627
46,25.4435770481,42.1241386987
658,21.3783425227,36.8201066907
924,25.8418411471,48.643690571
487,27.261646358,4.4583251564
586,16.527043423,-14.6943808977
329,26.5342975047,35.9075401707
