index,lat,long
48,28.1505664557,51.0643497309
125,34.4393640213,35.9846111812
828,28.2402580701,70.6724276048
841,18.3782947777,60.0959343093
561,40.0411883346,12.5868535488
358,31.3075665493,71.8004755023
616,28.9167174555,42.3411301316
44,25.7232799314,-3.73956960391
550,19.5521072505,3.68807273974
975,37.6033582158,22.4842384732
497,28.3774684326,87.8132602034
970,31.42069273,4.20837525712
695,39.4915186943,64.8074953122
528,26.7871719745,31.6600496501
319,21.5096809698,18.4250217637
708,21.1477043865,81.4514030054
829,24.0427426455,13.8351780579
735,33.2128333918,60.7121418656
1009,32.3985329486,24.7124507159
529,29.9135243202,22.8247321983
385,28.1261978189,43.8999094596
897,20.0176849988,7.64690526238
863,20.4579858444,15.1079551986
861,19.2960049587,13.3358457489
543,29.9990272647,28.4606389033
647,17.6896012061,57.6412379501
726,21.2475178052,18.8672696699
746,23.1031368071,25.751820668
77,26.7084129801,-5.02994806936
229,31.2919982677,70.4056662539
55,19.5929082469,30.2084477636
620,20.2182890978,34.3135984435
445,30.6191279131,51.4210482931
199,21.5349379531,11.4551298063
956,23.5450730731,25.0995012786
145,40.7455986221,39.3704200064
38,38.6864512842,28.7778098843
321,28.1651190588,42.1181293068
235,33.9101903735,52.4114957848
29,21.6365812703,47.2956557214
73,14.9828743869,57.9645513195
284,38.204344553,11.9562442059
991,31.7520533857,56.66948313
278,29.3582475375,47.0652133425
681,14.8848100128,23.3973474274
935,34.3432829554,19.9561034785
378,23.4397334997,11.7984799458
131,29.6274504928,48.762651201
921,30.4650722711,21.639232085
179,23.235508364,52.6772812556
633,25.6350515138,6.57002844323
697,28.1289878798,59.4635225673
1052,26.1450425993,48.8653075224
356,20.4912821827,3.56190507149
509,29.558056136,34.6409429592
691,32.4528525009,17.241793535
1054,31.4755483019,26.9935874834
502,37.0310266654,111.320896411
896,21.9423554749,56.3949369695
490,20.0239383804,37.3112906849
913,22.2124233041,41.298296228
43,31.1944848202,35.8698886836
1012,39.1497708412,58.6262157548
178,31.5628382429,18.4684712301
652,25.2167455858,17.3390084578
973,28.5091823217,5.05464380889
342,19.761097181,6.11191000516
604,21.9278952653,13.5309466481
118,28.6689764325,37.9628866092
78,28.4656637955,3.79768473283
430,22.3976997044,27.6099274863
922,14.7406698622,19.4035368178
448,41.7619306207,36.0333717083
177,37.1473228928,42.4413491688
779,28.6871490236,4.20671473434
899,27.1728284871,21.915288709
130,30.1437872475,56.7812583212
332,35.7014216618,6.2408673227
540,38.0390093811,64.5352146457
367,26.4689792743,32.2233084391
628,21.5314826339,31.440000463
403,20.8891990434,44.5414589653
915,19.9422880654,30.6864652115
1017,39.7992065352,34.0254900152
754,20.3901674693,70.2443978113
557,26.003179927,34.1800144903
36,9.27286282134,48.9343239366
734,27.6973265434,51.270641497
759,36.7961247714,41.9798295341
313,23.4370024756,-53.6775047618
930,29.0264427733,-0.521144792682
116,30.3499560443,61.1197340475
244,30.9261531377,8.43150342869
920,26.6836836078,67.2273734576
204,26.7661608266,16.9620884841
42,22.9888084974,60.8634961684
1051,26.3036523715,65.7430187004
622,24.2773552118,32.9257490673
583,31.7243906951,69.1509241678
801,29.7758929817,45.1366401183
469,19.5882255082,62.1373753677
842,20.6536559361,27.7521468789
758,28.6261383692,16.9952543914
489,31.6191379566,53.5002751479
761,31.2252631212,20.5708403986
839,34.479573335,39.2682955594
353,27.7044169139,34.5882075854
777,27.2183159114,33.357779114
689,30.1636340369,20.1546593152
934,40.1142282756,67.1409134087
517,29.3653324534,-23.4303586976
175,23.4362485598,33.6845006012
380,25.9449256382,31.7973384704
1002,21.9869867948,5.01493379807
255,23.6974264031,41.1730556493
608,23.4958102531,37.1424247216
320,33.8510989394,25.5286576616
931,20.2632189918,30.8885643508
627,34.4266695471,78.0417903233
80,26.6835343197,54.8656745835
500,22.2477507384,77.6538684145
237,26.8829426402,39.7161635554
406,24.4045017208,51.3717029379
979,29.6776996127,64.0035983367
521,41.460407533,35.2735747776
945,38.173494686,64.1621406523
669,23.7071209179,22.1598282687
748,33.112925545,16.249807474
416,35.8969515995,58.1080982901
150,23.8773533939,24.6354140297
220,28.7306264076,4.31485673211
419,20.648976659,33.0784487418
615,25.0975028136,37.9754557462
429,24.9651877184,26.1363343154
317,25.9233999596,41.8568792554
799,35.4185994782,69.3186727323
40,26.5852237614,35.117710466
711,25.9654584801,32.9795656178
663,32.4757924877,22.1711457053
30,19.7239891993,27.4598466037
904,34.0006786458,44.6059566889
410,32.9017459013,31.2674664426
525,27.5887393649,37.2737885475
347,25.7551545869,97.5792393265
341,33.149991061,26.6321801492
546,25.7676218606,47.3296742217
386,28.3201355588,35.2889401383
875,24.8495388698,20.4617141018
888,27.5573818514,69.1291728128
1034,28.5999088949,22.6034496975
783,27.2899197837,13.6044006764
640,9.57304260822,-10.4022889747
800,24.0739267061,16.2455933122
79,30.0989341501,13.6810450004
809,29.9238025352,39.5932650119
294,23.5794370476,32.5325429679
762,39.9537086344,69.361878816
602,21.4278700634,13.2233491444
315,17.6103301457,23.1976657027
672,38.3020930701,7.44564418488
805,29.9496220908,26.2712285186
1013,33.7387269353,56.1511656936
446,34.8118527003,28.197266667
409,37.2213980321,48.8087305315
626,32.1632002039,35.215915866
182,17.2182302968,68.6095513655
858,18.4989033134,2.77404950026
684,28.1893723889,49.5233601244
439,35.1968304482,18.1495088789
478,19.2064980658,-10.4443096064
1003,23.0213635034,38.6637750062
344,24.5088999566,38.4550774475
944,37.9453171362,10.1081262196
154,30.9013706467,28.0001910974
391,23.2567269969,32.8109159076
693,25.3344581623,51.3695629123
325,40.357544725,35.4258586425
440,46.7434622324,-5.07998780037
1022,21.2238669538,38.2232624015
467,35.5228279383,64.0701924653
725,22.5040302748,17.5529576614
795,45.2317072233,42.2701522217
817,32.951192975,41.3832638824
159,23.9001377999,4.08445969868
765,24.1202373287,52.7317899841
390,30.8959484319,31.8183136635
947,22.5702828767,7.6481554269
612,50.6845324792,6.62206401498
230,26.3555208759,19.2268302756
110,31.8759859996,2.28413821927
17,26.3068514817,90.3722890341
210,34.8280154139,43.0385959426
986,26.3170864061,72.0563008523
855,34.4893272702,42.9574447144
972,31.4890987118,50.9324316308
47,23.9772735751,36.4740030304
480,23.8428188783,81.2041208677
846,34.8337551405,74.3673972735
212,32.7799378458,46.0055782145
903,26.9220972747,40.0439866079
594,23.6346791738,44.732481053
484,23.1353151337,47.4443120253
1011,33.2187987132,58.8566279755
1048,29.5708280505,43.5575841936
918,17.3108384585,6.67691285432
488,22.1070618204,24.3243205328
806,31.0929190201,39.4677445141
397,30.5599895426,61.1757118206
140,26.0517451735,30.2324874428
214,20.6366214892,33.4643441933
793,37.5902242847,73.6597087021
146,32.5911196004,36.6972984697
641,28.8813498289,59.9717072791
336,22.8984344363,69.4377073356
260,15.7669829093,36.8373289338
786,43.3450938388,76.3667547264
411,27.7236482498,13.5125480732
1015,32.258648021,4.43574005325
209,40.139624028,53.3025895701
953,29.586186497,20.7902924942
119,34.1238558938,47.6833182922
830,40.2372434878,75.2585342612
494,22.0832744652,24.2821026846
56,24.6065380374,34.1288198579
232,6.44092336103,41.2561182974
864,34.7087237105,-17.863904265
339,36.9746702907,65.097144689
191,29.9514610293,32.6324929918
878,36.5102089183,54.5309843118
938,24.5968215859,42.8147742276
274,25.913077377,68.8059452798
464,21.9513390476,34.3365968635
369,16.9661713444,30.282322142
884,17.3553807358,68.3657334103
165,30.0221187852,56.6810827451
940,23.5233565109,44.4530218131
510,28.5161015496,42.2449074045
1032,30.9594596401,22.6488576219
883,15.40041206,39.9418955506
610,31.4977361939,0.166986581743
109,45.4911290831,9.59982271623
415,27.548811893,29.268303869
589,20.2973610953,35.4264672204
737,35.3202591749,52.6338551778
35,14.7220818067,54.9903005711
719,30.9356877862,-0.162041799922
477,38.040132676,23.0062853464
75,33.3311451707,17.9952819177
1016,28.5091075832,16.2097564869
170,12.841273204,53.4755337305
908,20.9088924254,-10.1863118364
701,29.0198144564,48.416375962
569,31.1437950008,35.3098489886
384,33.7757414118,58.1823693482
650,30.0217124264,23.8196716852
665,24.6991097708,23.7714447761
507,28.8516260337,50.3230736238
983,29.3009353887,59.3351297483
470,21.4190871186,56.1988534396
256,37.7941855329,73.1942652643
506,32.45440876,31.2296190346
917,28.8605710341,48.1265393257
656,26.9109125943,41.6377184041
46,25.4612543826,41.5106135321
658,21.7826050281,36.5979531974
924,25.9486359642,48.2094889159
487,27.1559534051,4.22926660225
586,16.9263129215,-13.9550382791
329,26.6145077512,35.9308070718
607,22.7149165408,25.2799340442
326,26.948892694,68.7550065019
28,25.515075123,58.1735125207
568,21.7757056724,19.5382481852
22,41.0075240149,77.0533689777
703,27.7470801944,53.292088997
9,27.1848548156,35.5309465299
450,26.0712114519,-23.9900693158
275,19.0697252137,9.55153087361
152,19.6420218916,42.4300588879
