index,lat,long
48,27.1769364963,39.6826797036
125,31.6304068399,44.2396573329
828,29.8629585081,70.8256861008
841,18.1662736588,61.3674045415
561,35.1159124242,-6.75108462618
358,31.2775541019,76.1197521683
616,27.0192794101,45.0985105147
44,27.7217433872,4.09906189792
550,20.0001071143,-5.55210711726
975,38.2662726068,27.1882299013
497,28.6411336492,86.2166324191
970,31.5045104915,21.9228370626
695,42.0249754143,56.1082895584
528,26.4340677829,37.0457402003
319,18.9330913992,19.7619419666
708,16.5964321413,79.232358645
829,28.509201387,22.2234215036
735,27.4224256443,53.3810906775
1009,31.6201368713,30.8972942171
529,32.8735533844,25.5805684879
385,26.1334081372,58.368751544
897,15.7905149031,17.4550766803
863,25.1598478156,23.2280694824
861,17.8921049661,-3.94925872491
543,29.3889119646,29.9664812791
647,12.5252406701,57.9995608084
726,20.1276353385,25.3444789267
746,23.0611439812,13.0698633277
77,23.9884357703,-7.27513093693
229,32.3942656063,67.9653285088
55,15.4392385933,19.8877893972
620,18.201897326,30.4438560516
445,22.8389793605,61.0544231821
199,17.3764190628,16.0323396209
956,21.4366720094,28.7215679527
145,44.263585932,37.9811100325
38,42.8473820628,30.7255327505
321,27.1781710524,53.2985338049
235,34.8151089466,51.5537944786
29,26.0742248556,45.2170295006
73,9.73931819806,53.0160876672
284,33.0360157812,14.036378105
991,30.4928064936,56.7427571141
278,28.944335322,67.470818077
681,19.0477196448,26.1347958087
935,33.6878127408,18.9617755249
378,20.1573204104,6.0398710812
131,32.2224376499,50.4984178231
921,27.4826865367,29.4533887936
179,23.7252988792,57.5015726904
633,27.6928278075,14.2776632711
697,29.9425468137,76.805544673
1052,26.2602234983,52.0923464069
356,23.407976153,5.77554074868
509,33.1679386795,39.9368329955
691,36.6682170389,29.5879014569
1054,33.7866437082,34.3296121588
502,36.328325529,68.4209732694
896,16.9431777201,53.4861532757
490,16.8448607538,39.3259812722
913,22.1195869787,36.0990674728
43,30.3861056945,40.0355163988
1012,38.7320138381,76.9638443137
178,31.8409425551,31.1402714997
652,23.0266070191,18.0874569131
973,26.5416899586,10.1235086538
342,18.2151127924,16.4778218127
604,19.2325302164,8.81178266498
118,32.2242917016,44.2954328714
