index,lat,long
48,27.2917108244,40.8682095306
125,31.8180125348,44.0890783665
828,29.8155631495,69.8175789438
841,18.2012520954,61.535724741
561,34.4424052374,-4.97581395319
358,30.997197516,75.7256345965
616,26.765605255,45.0160391476
44,27.8062189626,4.29603666129
550,19.8922733902,-3.24058909642
975,38.0604935706,28.1361695879
497,28.684154955,86.691269994
970,31.5276980181,21.7758423149
695,41.6874915994,56.673129166
528,26.4254368705,37.2843118482
319,19.5750531942,20.2332097798
708,16.8079357304,78.8462659023
829,28.4743917136,22.7871762022
735,27.2435037214,54.1647370722
1009,31.8122939261,30.9813288406
529,32.5242813969,25.9244732975
385,26.2674344744,57.7970943149
897,16.4224825126,16.9397939409
863,24.8520492985,22.2572785241
861,17.8693247172,-1.60615782688
543,29.311546153,30.3902056764
647,13.0291069449,58.0129734547
726,20.4931070606,25.7442450444
746,23.0457044125,14.7540906496
77,24.1924015612,-7.10032424653
229,32.3927606937,67.4002071754
55,15.7842095684,20.9131272299
620,18.6928896716,30.692412933
445,23.2997936165,61.2624007616
199,17.4631299341,16.2541846073
956,21.3392815993,29.7533227769
145,44.3175307864,40.166594471
38,42.3751565771,32.0644929266
321,27.0046848706,52.5433852743
235,34.5694252493,51.3546544099
29,25.4943982687,44.1952512077
73,9.80501609139,53.1556218887
284,32.8835639164,13.8222267752
991,30.353321524,55.9528193797
278,28.8258518286,65.3573576048
681,18.7227833403,25.2228943283
935,33.2256549111,19.7299290008
378,20.002981996,6.8335046285
131,31.8134428424,49.593589883
921,27.3789092271,28.8079978749
179,23.9386690387,55.9042625072
633,27.6738484933,14.4311355934
697,29.2932491176,75.880724425
1052,26.4004695562,51.5806907283
356,23.5921868526,5.75175196044
509,32.8565084566,39.5396062634
691,36.1515702822,29.6314066454
1054,33.5087948053,34.6631025824
502,35.1836868704,69.9721387006
896,17.3493559448,53.116873357
490,17.3417762177,39.1919668365
913,22.1793905059,36.0903027184
43,30.4017715058,40.2410834809
1012,38.3729209694,75.7462734305
178,31.8273622372,31.4335641069
652,23.3097397553,19.0978759233
973,26.9838202874,10.8074631392
342,18.7188092886,16.1029723439
604,19.2422099704,10.2925571299
118,32.1462881418,43.9547117247
78,32.0974102388,21.0546916172
430,20.466440683,36.1142159578
922,15.5459491906,1.57261501746
448,40.2244211747,48.4949888678
177,40.276673003,57.1226702598
779,30.1123028518,16.5644047152
899,26.9165141506,25.3749986174
