index,lat,long
48,27.8286549718,40.9730840819
125,34.2173814433,34.610066016
828,27.7117123985,70.136453558
841,19.983535821,60.687733381
561,30.6626943012,2.70853642611
358,26.1548085839,81.8595100427
616,25.3165274513,37.6183887838
44,29.1019746168,6.9713020364
550,20.2356912692,8.12504976152
975,36.1540308553,24.3182357663
497,27.7374177469,78.6962423258
970,29.5291813491,24.5885401063
695,41.3847636037,60.8777152572
528,23.3854018957,33.0168162221
319,18.0708477268,19.3034215735
708,20.177217497,62.2965290836
829,28.2507671773,25.5871579649
735,22.3182766574,57.2189883328
1009,37.0003031825,31.5932716211
529,31.9890804784,26.1203738554
385,26.4592571025,50.0231514193
897,18.1891058184,16.0998552571
863,18.1401806129,25.7843250668
861,16.9364022562,3.24105953395
543,29.7387891451,30.2628245005
647,18.7747384279,51.1043326752
726,22.7255261127,25.9458243061
746,16.915420158,24.3257937791
77,24.3029320313,0.156359774529
229,33.5928922557,64.5938785316
55,13.7074703137,17.8404115368
620,16.7850762629,29.0967666891
445,23.4043176852,59.1053477022
199,16.290674472,20.8622003339
956,21.2883342716,23.6474286793
145,40.0642478828,40.3697972259
38,37.6742538545,29.0653885705
321,20.8279074201,50.2239359131
235,33.0865486733,51.4150971201
29,21.4653113722,54.3710945881
73,13.1794514224,62.0731500554
284,33.0792513824,18.6313501645
991,28.4975691586,41.9346493542
278,30.1692610511,67.6349328629
681,14.7848404794,30.6582018676
935,35.1303180211,28.1277623891
378,17.0172864227,13.6863325389
131,30.0744521133,47.4856261559
921,28.4114804169,31.4858622593
179,25.1976751177,64.1037020432
633,25.2750022022,15.7259539352
697,25.0885683393,63.1487988872
1052,30.1182928308,39.768667962
356,20.8846570457,18.5949444012
509,30.429459435,36.9533971756
691,36.5120542018,32.4188717128
1054,29.2690776574,30.5176070105
502,29.0631968278,58.3899345911
896,16.0983564375,53.4210590129
490,17.6053500922,38.7356441801
913,18.6562398438,36.8001405607
43,30.2684735173,39.2063525747
1012,35.1955069078,67.5520109952
178,31.5372574498,36.7357946593
652,23.5922640181,27.4979149812
973,28.6333922217,11.6620115384
342,19.5821563274,26.5539764677
604,19.0382041381,17.4782500149
118,32.4631499207,35.827740405
78,30.3010494377,25.7399571305
430,20.7732785347,32.3227367763
922,16.6835329485,24.3802443006
448,38.0369358847,49.8510180879
177,32.5092569935,65.6232259396
779,30.2288830927,15.8306308969
899,26.3888022651,21.8573796319
130,29.0479693878,51.4481708488
332,34.497132565,34.6102304547
540,35.2646834354,68.3182229866
367,29.4617689937,41.7387753828
628,17.5747555852,35.3413903493
403,20.934106113,37.2100917348
915,19.3277983841,43.6765004445
1017,38.151844628,35.146792717
754,24.0714486081,54.3864882568
557,25.8227059576,29.6817140919
36,11.6904904297,24.547550398
734,17.0165215536,63.9672794999
759,35.0590128327,32.1551366573
313,11.2886136822,-27.3661439365
930,31.5503517711,7.86041100087
116,33.7698613932,42.8477267897
244,34.6017191138,19.3774587195
920,26.4529032624,69.2163548591
204,25.1509657203,24.6321307285
42,22.404866193,58.292701014
1051,16.2378211413,50.2984854036
622,16.021103679,30.3641712395
583,27.6342134324,77.005418983
801,20.2419211207,48.1710524101
469,16.726008078,48.4686678816
842,18.8255608616,33.5232881799
758,28.9457330803,24.1389363989
489,27.4807011366,61.4407201207
761,29.4150641902,29.484666342
839,31.6706565288,53.0573400866
353,29.7599946037,40.433924873
777,24.0767543168,30.8083450748
689,29.9227248314,29.2106217114
934,41.9149378431,81.9564755211
517,27.7813276689,-17.4369188379
175,19.3836911797,42.6388612266
380,22.6571903223,36.5991122091
1002,24.8862530431,18.1411736619
255,19.7906876522,43.3500707553
608,20.6789864882,35.7943489346
320,36.636175627,29.5119452017
931,19.8512005855,25.5909472682
627,35.1921136947,76.6256682788
80,27.7809489369,62.7551385044
500,22.2398492319,70.3118892959
237,26.9050631308,30.6524714121
406,22.0463317752,52.1911676993
979,26.1213593816,54.6796108145
521,38.8088541827,37.6338099201
945,33.5773063991,72.3496535058
669,24.902124334,28.8786430244
748,35.9490284042,27.0003151062
416,33.2895743096,57.1181871354
150,21.0425800437,39.8419418936
220,27.5689296091,12.7482821847
419,19.1742067411,32.6481662584
615,22.3195372972,23.6492344607
429,30.9545481044,36.6186819012
317,26.8615859442,35.4849919706
799,26.8931009144,64.8220876143
40,20.8443718279,37.1274992471
711,32.3257810991,34.6169392127
663,33.6695378626,29.4089114066
30,20.8445034281,28.1160590326
904,36.8874930178,53.6527140536
410,30.5441254426,39.1576320497
525,31.3892197893,41.2418099801
347,29.8918964098,87.7899465942
341,29.5471732805,32.7096094053
546,23.5286094249,34.3868842126
386,26.1547624386,53.8161382192
875,24.746576286,23.6756848062
888,24.5568004427,71.7040179368
1034,27.587786598,22.3322938239
783,26.5988061152,30.8092877691
640,9.00538470819,4.0838771562
800,27.0696479488,29.1638718145
79,33.5602183615,23.208681908
809,32.0492220885,39.7347946005
294,20.3318021648,45.2393577366
762,41.0053131792,75.4859353761
602,23.9686045377,14.5676599373
315,13.6966229417,26.8255660637
672,32.6363252707,6.98642201181
805,29.6626736539,31.1004021888
1013,36.4178055245,53.7838924016
446,38.3623313646,44.3483481414
409,36.2139040486,41.4591465119
626,34.8742987093,39.39107482
182,16.4845877688,61.4157906945
858,15.0511628939,22.576163539
684,21.0622576785,55.0646286069
