index,lat,long
48,-40.1194702625,-40.1194702625
125,-38.8777985557,-38.8777985557
828,-35.0975234573,-35.0975234573
841,-40.1811729651,-40.1811729651
561,-60.9123108265,-60.9123108265
358,-35.9572390174,-35.9572390174
616,-40.4270523428,-40.4270523428
44,-42.6430028456,-42.6430028456
550,-34.9272516404,-34.9272516404
975,-37.381870563,-37.381870563
497,-40.571388501,-40.571388501
970,-45.9467007488,-45.9467007488
695,-50.6934731389,-50.6934731389
528,-32.6297007563,-32.6297007563
319,-41.7809624128,-41.7809624128
708,-46.0484417855,-46.0484417855
829,-34.2425847925,-34.2425847925
735,-35.8029119186,-35.8029119186
1009,-38.5410245112,-38.5410245112
529,-36.5824667382,-36.5824667382
385,-34.843073779,-34.843073779
897,-51.4743187159,-51.4743187159
863,-37.2044947657,-37.2044947657
861,-39.2317851705,-39.2317851705
543,-36.5582975092,-36.5582975092
647,-40.5267173398,-40.5267173398
726,-39.1271570436,-39.1271570436
746,-34.1106507324,-34.1106507324
77,-56.5044490369,-56.5044490369
229,-33.6912416706,-33.6912416706
55,-47.2251671079,-47.2251671079
620,-35.011797546,-35.011797546
445,-45.9594569658,-45.9594569658
199,-46.1643674876,-46.1643674876
956,-42.4978106074,-42.4978106074
145,-34.7100785337,-34.7100785337
38,-38.5824037076,-38.5824037076
321,-38.1355195267,-38.1355195267
235,-29.287699324,-29.287699324
29,-34.0817085124,-34.0817085124
73,-43.0444795168,-43.0444795168
284,-57.9766860758,-57.9766860758
991,-36.2701414697,-36.2701414697
278,-44.7411515063,-44.7411515063
681,-43.7234865801,-43.7234865801
935,-40.2356736896,-40.2356736896
378,-49.6441773704,-49.6441773704
131,-40.2022467451,-40.2022467451
921,-44.595244263,-44.595244263
179,-38.523074291,-38.523074291
633,-34.3921728676,-34.3921728676
697,-41.0254082871,-41.0254082871
1052,-33.3849377237,-33.3849377237
356,-41.2358200796,-41.2358200796
509,-30.2322977296,-30.2322977296
691,-34.028656799,-34.028656799
1054,-34.0211491152,-34.0211491152
502,-41.0723025493,-41.0723025493
896,-38.0069500511,-38.0069500511
490,-35.522516821,-35.522516821
913,-31.4577052174,-31.4577052174
43,-32.6783948949,-32.6783948949
1012,-40.3920755265,-40.3920755265
178,-41.1796135721,-41.1796135721
652,-35.3169050891,-35.3169050891
973,-31.4903224127,-31.4903224127
342,-38.5849588032,-38.5849588032
604,-37.6558969876,-37.6558969876
118,-33.3225732445,-33.3225732445
78,-50.7310062221,-50.7310062221
430,-42.98431211,-42.98431211
922,-41.6123661858,-41.6123661858
448,-39.7401086447,-39.7401086447
177,-37.4625313125,-37.4625313125
779,-38.7556080345,-38.7556080345
899,-52.472221182,-52.472221182
130,-31.8374913613,-31.8374913613
332,-48.3122194149,-48.3122194149
540,-37.5147747083,-37.5147747083
367,-32.9570680718,-32.9570680718
628,-35.5923688119,-35.5923688119
403,-35.9722934278,-35.9722934278
915,-38.6303037142,-38.6303037142
1017,-35.511716782,-35.511716782
754,-44.0193059543,-44.0193059543
557,-32.8931278222,-32.8931278222
36,-39.7849613552,-39.7849613552
734,-38.4072210784,-38.4072210784
759,-77.1151857119,-77.1151857119
313,-77.1623895841,-77.1623895841
930,-46.7687565967,-46.7687565967
116,-37.0353477739,-37.0353477739
244,-33.9424069324,-33.9424069324
920,-34.1816078969,-34.1816078969
204,-33.0234308013,-33.0234308013
42,-35.0456714012,-35.0456714012
1051,-40.6443175907,-40.6443175907
622,-34.6250776485,-34.6250776485
583,-37.0358253984,-37.0358253984
801,-33.9600070682,-33.9600070682
469,-38.6257723986,-38.6257723986
842,-35.4818125457,-35.4818125457
758,-35.7336087403,-35.7336087403
489,-36.8826947033,-36.8826947033
761,-37.6057810378,-37.6057810378
839,-41.5337188772,-41.5337188772
353,-35.0164167081,-35.0164167081
777,-39.2136383043,-39.2136383043
689,-40.0419982744,-40.0419982744
934,-28.4701439479,-28.4701439479
517,-57.0814114401,-57.0814114401
175,-32.6087523039,-32.6087523039
380,-33.1601923823,-33.1601923823
1002,-37.9101868504,-37.9101868504
255,-36.9144493115,-36.9144493115
608,-30.3536826662,-30.3536826662
320,-29.6693963561,-29.6693963561
931,-36.5813249945,-36.5813249945
627,-35.3502405431,-35.3502405431
80,-31.8027853725,-31.8027853725
500,-38.0698344513,-38.0698344513
237,-40.361358808,-40.361358808
406,-41.4646293935,-41.4646293935
979,-39.0714038238,-39.0714038238
521,-77.2059009116,-77.2059009116
945,-31.8767217683,-31.8767217683
669,-48.0560787899,-48.0560787899
748,-30.9288174726,-30.9288174726
416,-30.1787380684,-30.1787380684
150,-35.6274774629,-35.6274774629
220,-50.6075017781,-50.6075017781
419,-34.5780913753,-34.5780913753
615,-32.3042155675,-32.3042155675
429,-36.3830524115,-36.3830524115
317,-40.1408665366,-40.1408665366
799,-34.2575241567,-34.2575241567
40,-35.3935457243,-35.3935457243
711,-40.8077524803,-40.8077524803
663,-37.8285370148,-37.8285370148
30,-35.288617488,-35.288617488
904,-31.9072706024,-31.9072706024
410,-36.5144733181,-36.5144733181
525,-33.9209531351,-33.9209531351
347,-36.0008565416,-36.0008565416
341,-36.1693914712,-36.1693914712
546,-39.3607358347,-39.3607358347
386,-44.4546819887,-44.4546819887
875,-35.3045059843,-35.3045059843
888,-39.637453224,-39.637453224
1034,-42.8637663348,-42.8637663348
783,-44.3810886495,-44.3810886495
640,-47.4216230262,-47.4216230262
800,-42.9723587447,-42.9723587447
79,-31.9543263719,-31.9543263719
809,-33.8738974957,-33.8738974957
294,-39.9216768656,-39.9216768656
762,-31.6535032633,-31.6535032633
602,-35.4257817311,-35.4257817311
315,-42.2058175647,-42.2058175647
672,-59.3457952752,-59.3457952752
805,-37.5502884942,-37.5502884942
1013,-38.2516254768,-38.2516254768
446,-39.9339440055,-39.9339440055
409,-32.1352719891,-32.1352719891
626,-34.402896773,-34.402896773
182,-39.6089458114,-39.6089458114
858,-42.2718801847,-42.2718801847
684,-34.0013342075,-34.0013342075
439,-33.7362495114,-33.7362495114
478,-54.2770468695,-54.2770468695
1003,-44.3414471212,-44.3414471212
344,-49.18732138,-49.18732138
944,-33.399038447,-33.399038447
154,-35.5233916416,-35.5233916416
391,-34.7715727473,-34.7715727473
693,-34.2516428687,-34.2516428687
325,-41.4251592634,-41.4251592634
440,-49.4225663906,-49.4225663906
1022,-41.2967998384,-41.2967998384
467,-29.7129376166,-29.7129376166
725,-38.5388029719,-38.5388029719
795,-35.1668518833,-35.1668518833
817,-35.2475044338,-35.2475044338
159,-35.6758039478,-35.6758039478
765,-38.9235704655,-38.9235704655
390,-32.0879036163,-32.0879036163
947,-48.9629016561,-48.9629016561
612,-44.6108127379,-44.6108127379
230,-34.5996250803,-34.5996250803
110,-41.1214140561,-41.1214140561
17,-37.8186060702,-37.8186060702
210,-39.7727134764,-39.7727134764
986,-36.6063186788,-36.6063186788
855,-32.4518183126,-32.4518183126
972,-37.6233930166,-37.6233930166
47,-37.8875188197,-37.8875188197
480,-37.6497958882,-37.6497958882
846,-38.313485392,-38.313485392
212,-30.0429684367,-30.0429684367
903,-32.889742545,-32.889742545
594,-42.4978112581,-42.4978112581
484,-40.266773809,-40.266773809
1011,-38.1264188938,-38.1264188938
1048,-32.5411387709,-32.5411387709
