index,lat,long
48,32.8323901221,45.6899801064
125,25.0488216929,37.9064116772
828,42.5145893906,55.3721793749
841,45.0840496827,57.9416396671
561,-2.70355619465,10.1540337897
358,49.3992304257,62.25682041
616,28.2447721448,41.1023621291
44,1.07183712423,13.9294271086
550,16.1779986424,29.0355886267
975,24.880364042,37.7379540264
497,59.5487205542,72.4063105386
970,7.41346466092,20.2710546453
695,33.3991995086,46.2567894929
528,27.8073700382,40.6649600226
319,14.6024941554,27.4600841397
708,53.4241696452,66.2817596296
829,19.6256813015,32.4832712858
735,41.7245586263,54.5821486107
1009,19.3615063486,32.2190963329
529,18.9441356458,31.8017256302
385,33.8049524228,46.6625424071
897,6.30106275237,19.1586527367
863,16.5424920175,29.4000820019
861,13.387695825,26.2452858094
543,24.6555487722,37.5131387566
647,42.0748641843,54.9324541687
726,21.2232147172,34.0808047015
746,21.0232994911,33.8808894755
77,-10.2801357004,2.5774542839
229,41.5759428558,54.4335328402
55,18.627232953,31.4848229373
620,26.5102617718,39.3678517561
445,36.2201958436,49.077785828
199,11.2935227637,24.1511127481
956,22.9270265012,35.7846164855
145,36.2226399374,49.0802299217
38,28.3270407556,41.1846307399
321,33.3770888265,46.2346788108
235,33.7231835529,46.5807735373
29,27.3142636626,40.171853647
73,40.5419172301,53.3995072145
284,1.6542856865,14.5118756708
991,33.62016021,46.4777501943
278,31.1138644558,43.9714544401
681,17.9881166779,30.8457066623
935,16.6166721421,29.4742621265
378,6.8989061064,19.7564960907
131,22.3297366142,35.1873265985
921,9.57876113754,22.4363511219
179,32.3202647481,45.1778547324
633,12.49765267,25.3552426544
697,43.2953011356,56.15289112
1052,32.4436948619,45.3012848462
356,1.36273727539,14.2203272597
509,25.7709060909,38.6284960752
691,19.8182092159,32.6757992002
1054,25.0855642754,37.9431542597
502,57.7430959489,70.6006859333
896,34.7432574042,47.6008473886
490,29.0512338225,41.9088238069
913,28.2651436929,41.1227336773
43,28.0361619229,40.8937519072
1012,39.3318002114,52.1893901958
178,20.8078753518,33.6654653362
652,20.5471537984,33.4047437827
973,13.9296333261,26.7872233105
342,13.1675445001,26.0251344844
604,17.8727315927,30.730321577
118,26.7329840821,39.5905740664
78,6.87209355007,19.7296835344
430,23.7028438259,36.5604338102
922,20.1736893924,33.0312793767
448,29.2628767717,42.1204667561
177,28.0022920806,40.8598820649
779,8.94281282298,21.8004028073
899,7.1185320612,19.9761220456
130,36.5322100111,49.3897999955
332,10.1605186514,23.0181086358
540,35.308294881,48.1658848653
367,26.0169031585,38.8744931428
628,22.9512221215,35.8088121058
403,34.2726024183,47.1301924027
915,20.4407022827,33.2982922671
1017,23.6565636376,36.5141536219
754,47.3115845583,60.1691745427
557,28.9520966504,41.8096866347
36,28.6483608274,41.5059508117
