index,lat,long
48,29.6404348464,33.9625352962
125,33.1897358999,46.6698454322
828,34.9257143032,89.0965024965
841,11.6325524385,48.374108161
561,44.0696736375,-34.0691276592
358,28.0065018006,62.3917417837
616,31.5194859972,42.5839673046
44,25.6818146502,4.55145353738
550,21.0635745461,-26.3590962789
975,34.9340476682,14.764465744
497,38.9649015488,57.33330581
970,35.3210624699,17.4740272195
695,50.7028219334,30.3129983189
528,32.6167665382,33.361467337
319,12.2826850342,28.0723325874
708,18.3292790526,102.846629911
829,28.9458521996,28.9920404892
735,33.2258681251,36.1967056641
1009,34.0519909015,34.943395444
529,33.9387580613,23.3541381776
385,25.6022807183,75.2572085235
897,7.56085991153,31.6445445196
863,30.7780865853,58.7180214501
861,21.7027264469,-30.1576478369
543,38.1817359985,38.5164762581
647,21.6943084082,68.5240594654
726,22.5913533754,22.0544367967
746,23.4853321734,-16.016824139
77,22.0097328989,-7.23744485853
229,28.2798188036,80.4667121277
55,13.4535445546,20.4719686494
620,15.2900122035,29.9299736758
445,14.099417063,57.3694246908
199,21.1092921486,11.1735978271
956,20.6812645827,23.7652254533
145,43.9116381078,7.04767293732
38,43.4045007416,12.0668706898
321,34.5845627192,47.1790802566
235,36.6457713869,51.7758383622
29,28.1732135894,48.5139701253
73,13.3655558963,54.8575277661
284,26.0645782916,28.9877023494
991,35.2328237932,60.2657146628
278,33.6225424472,117.112034933
681,24.0267996381,65.0775488955
935,41.174881728,25.9914336341
378,26.1757705563,12.0417204315
131,33.7916208441,55.6623968823
921,33.0325176388,58.2339476984
179,14.4165087082,80.2881780262
633,25.2314234165,17.366022658
697,35.4908568189,86.80045127
1052,25.1485836601,60.3580166926
356,17.7174967323,-2.82385665639
509,39.8259553264,44.6083801003
691,44.8418432319,30.6034200589
1054,35.1594312094,29.5011158955
502,42.3432359613,57.9837211458
896,14.588709825,71.0866358503
490,13.9813081404,37.2462412722
913,25.1334779793,38.2367372483
43,28.7482168478,31.89817433
1012,39.442183241,79.6259493949
178,25.0749210402,28.1763042001
652,18.5986190268,5.39457457271
973,20.417691211,1.76627043537
342,12.6483530531,16.1624777228
604,18.122323075,-11.5192435483
118,37.7008062184,50.7423457229
78,26.4908201998,13.2340419429
430,12.745265317,25.8455382882
922,5.34828503333,-16.2240151531
448,37.047179646,56.6812215075
177,39.3966410813,89.3232923355
779,31.0701119221,21.4861201143
899,34.2735257009,5.30667400597
130,29.3203068699,56.2507294909
332,32.6261387833,29.1323397215
540,32.8381468102,96.0757036751
367,16.5442891269,43.4564378622
628,21.2484069347,40.1334710894
403,19.9222162066,42.3312421292
915,5.10117792072,43.0476530083
1017,42.7549878235,33.2171933934
754,15.0107998731,85.4391506974
557,29.3471888945,19.4652976011
36,-2.56994114863,22.5648664373
734,26.5238838389,11.9160644553
