index,lat,long
48,28.0214985833,43.80076566
125,33.3958384662,44.061587931
828,32.7078470115,67.4862417033
841,17.2584417199,58.8982823487
561,31.7748103984,-1.94923046381
358,30.9799242467,68.4785325707
616,26.0690465982,43.4064032634
44,27.817879524,8.00416806941
550,19.7658512316,10.0822614228
975,34.8868765599,37.0223941926
497,29.1794196121,78.4579449902
970,32.147090792,18.9317805008
695,39.5090798793,51.7279510194
528,26.0787462682,35.7694694532
319,21.8002152718,25.4878601238
708,18.2803403703,81.22999463
829,29.051549352,29.8957300629
735,27.813898538,53.3896394448
1009,32.7679437407,33.2707417736
529,30.9970722689,28.3218070968
385,27.5566902484,58.831562985
897,17.8495159135,19.2787416363
863,23.9952592974,21.1867053617
861,18.2742163104,8.60193064428
543,30.3537835475,32.411075712
647,17.5349696345,56.8187391659
726,23.5469145812,30.1786861136
746,21.1925029274,18.0380572402
77,24.7912018549,-6.21225347261
229,30.3073405931,65.0089483163
55,15.7172221677,27.3212201199
620,19.8657347184,33.2131328791
445,24.6814037267,58.2409845858
199,17.2840336298,17.1572775095
956,20.0021138432,37.6376522586
145,42.9941099314,44.7080282469
38,37.8931909595,37.6786317316
321,27.2928068764,43.1744592577
235,32.3405907819,47.1229559599
29,22.1602988689,45.4147660703
73,9.91956579429,57.1525885445
284,30.9676946872,16.8619705877
991,32.1138829039,53.5422442056
278,30.2131981717,67.4296944079
681,16.0990025467,27.5207727198
935,32.3611043328,25.4876778913
378,19.4383655921,10.2925075712
131,30.9670467465,46.9866027969
921,28.0814903386,30.4207173082
179,23.551256543,53.108114823
633,27.787097964,17.6038767021
697,27.8509218154,67.873205018
1052,27.7650789081,54.5855213232
356,23.4570896115,4.53353090084
509,31.9413460245,41.1811983375
691,35.1864613155,31.068222575
1054,32.7246925471,34.0454960901
502,28.0496318281,83.8983741346
896,18.5971363875,54.4472750804
490,17.7495158345,34.6703904593
913,21.1390898472,38.9752207401
43,31.5686262805,41.009385173
1012,36.1524211264,64.8287161648
178,32.6751487341,36.3373086133
652,24.0558035257,24.2099083827
973,28.6176860924,14.2463927404
342,20.6751248184,16.6770978005
604,18.6983081214,14.591787876
118,32.7497156155,44.208425849
78,29.3735194457,21.4641334923
430,19.9424233587,38.8173373186
922,17.9084363986,8.39246005984
448,39.5757165477,46.1113625558
177,37.5860423665,56.0912037403
779,30.2054641853,15.4582984358
899,25.7846256808,24.7012865282
130,28.9595605979,54.1890885324
332,30.4531068163,27.7690682565
540,34.8077441511,69.8363313542
367,27.5592710723,42.9586334126
628,22.1404786894,34.2363783264
403,20.4195955581,36.5859353629
915,17.6094790917,30.7472466427
1017,36.5962137365,36.7193933641
754,21.838045676,73.4777006834
557,25.8263156247,35.7768910078
36,11.9778800124,29.6166395958
734,26.7582106949,43.5821942453
759,30.5858252141,23.371064206
313,16.3218544503,-64.5156805865
930,29.1560260728,8.07800330697
116,32.4441454501,57.0370920166
244,33.3297776907,25.3697008022
920,24.0532907923,61.7389745885
204,26.3107634157,26.508278586
42,23.5783176414,67.2513459394
1051,17.7633819456,61.8476773309
622,24.1994506377,27.8300959001
583,26.2715578012,66.7216973464
801,29.7936956979,38.9201678593
469,18.6538600496,68.2017108112
842,19.8324141902,30.1356351518
758,32.5122740218,30.8435485649
489,29.0249701179,65.2861769794
761,32.1639480341,31.7837843218
839,27.3228397527,51.1470597182
353,30.16502494,43.3501277956
777,27.6583153264,33.6691601439
689,29.7278753526,30.3987816015
934,38.9885150533,70.4018840414
517,27.5239502031,-30.3427487324
175,22.2551874739,27.6811084219
380,25.4222593092,42.8677326675
1002,21.9809109782,14.2001794357
255,23.8346149326,64.4402259178
608,20.2934790139,32.5457048113
320,36.4361307462,32.1110098159
931,21.4318718003,32.1428903204
627,36.5404250696,73.9556428253
80,28.5208995017,61.0326681113
500,21.3855308183,70.8531663866
237,27.3047349358,44.3347666675
406,22.6178626372,56.3616902421
979,26.121160902,68.4135524641
521,36.2837793609,24.5442218415
945,36.0734074939,68.1327029953
669,21.0569411567,29.6747183666
748,34.7616902921,34.7227771529
416,33.6542689271,54.1081550414
150,20.9670546259,25.1724991441
220,24.6947400676,18.8008507103
419,20.1257887891,31.1924643818
615,22.393785338,25.5566225749
429,28.4759430285,39.5152431984
317,25.8373945746,45.9145949315
799,29.7351611654,59.5179313884
40,25.0352668989,38.0178671687
711,27.5571776737,38.5833549579
663,33.9020188079,21.7756675747
30,19.9453805227,35.8118327006
904,33.225812939,54.0383210888
410,33.9627644918,39.4294279864
525,29.0626608418,43.1092729863
347,28.6010358887,94.8824186397
341,31.584178804,31.957335415
546,23.3063654363,42.9000558519
386,25.3900045217,37.9459024945
875,28.8673906702,23.3083840564
888,27.1195158613,67.8707093404
1034,27.3101765882,24.9339901479
783,23.9311536011,28.1317784014
640,18.2078332915,-0.773029874767
800,23.5222950729,24.1059345084
79,31.5878592389,22.9852368815
809,34.6369763899,51.2984422895
294,20.5709672812,42.6285448886
762,38.3967986622,71.8846867383
602,24.4478286307,17.5995621675
315,16.8042926602,22.3520318322
672,33.0965191255,9.79548493246
805,31.5581428164,32.3338316732
1013,33.1814901402,56.5468263733
446,35.0716718716,44.1846807376
409,36.4132586416,49.4694430358
626,32.7067793839,46.2486066679
182,16.4550781087,64.219994588
858,16.8541770432,9.33862000866
684,26.74381567,53.4289457012
439,36.9200909788,23.1739191505
478,15.6810957129,-9.19988070325
1003,24.2891723365,41.2886660786
344,21.9472408147,48.6148225781
944,40.1122748853,28.544043259
154,31.555877963,36.4299610454
391,25.7739401033,28.1237726714
693,21.4943194717,56.4300870204
325,35.6568695755,41.5065630907
440,42.9559134319,13.2731007591
1022,21.099252144,59.650190325
467,37.0603355033,62.1518959165
725,22.0650820001,26.7489866151
795,45.4886454191,44.6637548845
817,32.2339955748,48.1435982404
159,22.5619544847,10.9502363311
765,24.633367527,49.5473674213
390,32.393126167,43.5167038646
947,18.2905373842,11.9880190461
612,45.6205628539,21.8497920649
230,24.2631279394,22.6737494665
110,29.0955465259,24.2810383882
17,26.4871520684,74.3157548145
210,32.6578809077,51.006747942
986,22.5552851297,66.3052873253
855,33.3633852183,44.5447364329
972,30.6092332466,48.5308535249
47,23.5142888185,42.9329166295
480,19.5466769671,68.2156774317
846,30.1368724836,78.0891346838
212,33.1261529521,44.764079992
903,30.1892479447,49.9867572321
594,23.1851100459,56.2612400428
484,22.0168023835,47.235445631
1011,29.105825674,64.1608298591
1048,29.8129919343,45.4928894049
918,19.9656849593,14.2401406069
488,18.0114067373,26.5624063448
806,32.9626515021,42.4345025542
397,28.5437176076,69.8837177893
140,25.6474779584,48.6967379506
214,16.8269240902,31.6713378705
793,38.6325351316,73.5890206806
146,29.8624751083,33.122868926
641,27.2318168755,44.6073319082
336,25.5276073731,77.0711921476
260,15.1404011499,29.6364585706
786,38.1924341374,64.2042962111
411,25.7238198108,18.766308406
1015,32.4176459946,17.2546799387
209,35.729760845,50.2551329222
953,28.7222918073,23.1235870554
119,30.2618232628,42.1930691836
830,40.9596649454,75.0780957658
494,23.5841816946,33.5333380155
56,25.4194880013,38.6409899584
232,11.9535022527,21.8762605446
864,32.1176827001,-15.7656469074
339,35.5228466952,64.0324376055
191,30.9797034482,39.6900834029
878,36.5989643892,59.1383555762
