index,lat,long
48,27.3458782781,42.7277775814
125,34.0229184522,45.8936763687
828,33.2138621027,72.4734781295
841,14.7616595168,59.5268620716
561,34.7149514699,-7.46315741224
358,33.9185916898,67.6228138576
616,26.1958976468,44.4307906154
44,26.8529919486,5.86982823065
550,18.6693625784,5.4742790365
975,37.3025155852,35.9027832082
497,32.7806140182,80.5048244298
970,33.2118592471,21.7928506961
695,43.4507504557,52.6100500779
528,26.7558429701,36.3657605442
319,20.7819295825,25.3603649872
708,16.3230546956,85.5305765402
829,29.9000473775,29.496799893
735,30.2317847158,49.0722681229
1009,33.1307371904,34.9294004874
529,31.6077804444,26.5322966794
385,26.8123151522,63.571938115
897,15.9369780446,19.2290775465
863,25.5687737678,20.2003997588
861,18.142663425,3.79351676743
543,31.465401067,30.4266227557
647,15.3839358017,59.5266561178
726,23.1998088391,29.5750280086
746,21.6538237291,15.4694195273
77,24.8244092045,-9.19634125609
229,30.6812782788,67.9676890466
55,15.3830839757,27.6101559306
620,18.8320816318,33.6050881541
445,22.597129513,61.1890353255
199,17.0009583066,16.5207160335
956,18.6667484501,36.1726401277
145,47.2966443706,41.3097958021
38,41.5553634117,34.8917552446
321,30.7316921655,44.1416727179
235,32.8840666405,47.524260837
29,22.7140204028,45.1353591977
73,8.17572846827,57.7115231686
284,30.0478587929,15.1442061246
991,33.183802399,53.7015414078
278,30.4267179668,74.4987915378
681,17.7661050041,27.9783028587
935,33.4164682236,23.622392354
378,19.5915645104,8.6186904804
131,30.9816999866,49.4009506385
921,28.1988033691,32.8412999507
179,21.4763362027,55.3520948767
633,27.1317559343,15.9705068411
697,28.7165662467,72.7861693704
1052,27.4764524817,56.4451441292
356,23.0725287043,4.04641618943
509,32.6133548918,41.057908561
691,36.7598294522,29.9476710938
1054,34.1600545592,33.1791908543
502,33.2446765329,79.8369327536
896,17.255087861,56.5953187013
490,16.9985304056,36.9222768372
913,19.8759984008,38.5383684846
43,31.4920699884,39.8001780772
1012,36.9313367147,70.93439986
178,33.6677330753,35.7821798362
652,23.1079116812,21.2297754306
973,27.5749409847,11.5903562588
342,18.5798894816,17.1617856796
604,16.8765590979,13.2634474316
118,33.2831644168,46.2564153063
78,29.3983500875,20.6907064015
430,19.1475856288,38.8731404775
922,15.8992026602,3.17163644222
448,41.851854785,48.951594634
177,39.3026762316,58.3663474466
779,30.4944808229,14.6109482788
899,27.3447709919,26.1899970736
130,28.797102994,52.8650788484
332,29.7493145059,27.1949483645
540,34.7326480509,75.1751544063
367,25.4583877325,43.2191686134
628,22.5299887864,33.1779653875
403,19.2927388558,35.2670104104
915,16.3177697941,31.4429910559
1017,37.7019910588,36.0381547097
754,20.2739816766,74.9533344058
557,26.2922508971,33.227867421
36,9.33256870326,28.2734129373
734,30.8958862917,41.1009298345
759,31.4834788084,23.6467217784
313,15.2590879903,-68.6541905137
930,28.6879592726,5.22656644738
116,34.3022645963,58.6907205859
244,33.7642772227,25.1705031336
920,22.5711693793,61.5249377581
204,25.1919741345,26.9660178258
42,20.9420907198,71.3917904615
1051,17.276714731,63.9075120657
622,26.085898806,24.4125356539
583,25.6986538412,69.975236575
801,33.0978208424,37.4236588355
469,15.8123502112,72.160552539
842,19.6721230542,28.1136034322
758,34.3186157158,31.3102172905
489,29.0642141674,70.4511833213
761,33.3498814638,30.1375217327
839,24.4771750594,50.6329255513
353,29.2079466182,44.3801686943
777,28.0574926535,34.8249631584
689,31.218809709,29.793362675
934,39.9167563178,74.1578769124
517,29.6345000675,-35.7536146107
175,22.9510942685,27.1040392532
380,24.8708530248,46.0997493013
1002,19.7676434128,13.7521253639
255,23.5285257674,68.0887412052
608,18.1415846564,31.4509864016
320,38.1288438915,30.6944181822
931,20.7507265791,31.8207459488
627,38.0221566756,74.6470287606
80,27.5286207723,65.1747278151
500,19.2779772947,74.6951087402
237,28.154846098,41.4143159016
406,19.5500493476,58.1275584576
979,25.99020773,74.2410189346
521,37.1191596792,21.0060443096
945,39.2781703276,69.2801047413
669,19.4713453882,28.5977282249
748,36.3479889739,34.4303873679
416,32.993007483,55.2704660615
150,20.8486591428,24.0966195195
220,21.6394291146,17.9041611951
419,18.0443500149,30.3616125377
615,21.9009030841,21.8716262582
429,31.3581993748,42.7931731541
317,25.2577632586,50.6898985096
799,31.0313187487,59.6935138118
40,25.6655392699,39.6023559634
711,27.2614148927,41.4348267106
663,34.8664514243,21.4988435313
30,18.446686744,36.3194459117
904,32.4633627345,54.5240824189
410,35.4879724172,43.0454755543
525,28.255413178,43.6224383075
347,26.4585594485,103.917222529
341,32.7367455376,30.9559063662
546,25.0080957475,41.8465221242
386,26.0807977537,39.6663790104
875,29.5007058498,22.0368663047
888,26.9290371419,69.9550156307
1034,26.582492915,25.4532875581
783,21.2557696339,26.8430079266
640,18.2596521185,-1.76241890245
800,22.239321637,23.5844177941
79,31.0504420783,20.1379985436
809,36.3151256442,53.4835740792
294,19.531830701,41.3679535779
762,40.6650654871,76.6449726866
602,24.370155292,15.1248804848
315,14.9628840919,21.1967219184
672,35.7231543781,6.83654023288
805,32.1488642757,29.4684052522
1013,34.0557255954,58.309692439
446,37.3283441807,45.0730235976
409,37.8397015546,49.722078465
626,32.8734897868,46.7695883824
182,12.2075071187,68.2636911054
858,16.9858502895,9.34641957998
684,28.9170770415,53.3274058818
439,38.1457689147,21.4982355977
478,15.157747836,-13.7988044154
1003,24.5686456044,38.0159870978
344,18.6351118079,48.3683963662
944,40.9448560929,29.1625785966
154,33.3397913611,35.2252844713
391,25.4830247818,29.5988851682
693,19.0464224299,58.1663344993
325,36.5707127892,37.890669012
440,48.5582941065,5.34383532969
1022,17.9028851501,62.7881646526
467,38.1074192521,63.0827802952
725,19.6240967906,27.5595712866
795,51.903230305,40.3480957274
817,32.7100058194,54.6242819364
159,22.298679471,9.00493409404
765,23.9073500148,50.1206023525
390,31.2775112559,44.1061641527
947,16.9425842079,9.29066852186
612,53.1990033917,11.8758492374
230,24.4323228506,23.5055757141
110,28.4995073789,23.3999275741
17,26.2661617967,75.995829313
210,31.8410626778,54.9346241859
986,21.577803671,68.1856566854
855,35.086990187,43.1719278512
972,34.7318840344,45.5026185004
47,22.6142022255,43.8154160335
480,19.0596776004,70.9340218593
846,28.562426767,83.5939585269
212,32.9713700613,44.6157390754
903,30.1062561191,52.1565410274
594,22.2922798731,54.4842557903
484,22.4377058988,48.2527433065
1011,29.2960964778,69.7699033407
1048,31.7704128685,44.9510140032
918,17.2373309415,13.2845607061
488,16.3369795338,24.3649463495
806,34.17436199,43.5977440012
397,28.6005582243,73.3461643632
140,22.6328312857,51.1503881847
214,15.6452108654,32.6742041638
793,40.8506095964,77.7736572283
146,30.4469941095,33.1229482268
641,31.2661233284,44.0716609965
336,25.469010163,85.5362771177
260,13.4021167876,25.7875971517
786,44.5844975597,65.3033582908
411,25.7472163286,15.9714476338
1015,32.4879349785,18.3038927647
209,36.6800259824,48.6384431244
953,29.5794233658,21.787645151
119,31.7576237402,41.4077135483
830,41.1081921197,77.8427442029
494,22.2336329219,30.2911990914
56,24.445375235,38.1557945703
232,6.63391952416,12.0981253803
864,33.788943771,-17.3102939474
339,36.940439826,67.2667726558
191,30.3004937631,39.0768719604
878,38.6108954267,63.7464544346
938,25.335151182,48.9148745858
274,22.8466386433,66.7922603038
464,21.2388602332,36.8824100281
369,13.1037374421,23.0637285794
884,11.6361030563,58.4000077932
165,26.4407580954,54.4703722861
940,16.2722880366,61.7801252657
510,25.9570382249,50.1532631045
1032,31.3024991373,32.789076513
883,9.62225167405,45.6643967001
610,28.5946882233,0.313768865885
109,50.0994530873,18.4532963852
415,28.8288622124,33.769876736
589,15.5834684611,33.1458020278
737,39.5296519809,53.1050210466
35,7.713400799,61.4764157171
719,26.7808823598,24.6411706953
