index,lat,long
48,27.3669479164,42.5109265143
125,34.0851005091,46.0207526674
828,33.2762849345,72.8892976184
841,14.6351688621,59.4510693205
561,34.9480797679,-8.10888069872
358,34.0233519391,67.6429315766
616,26.2860641888,44.465950276
44,26.7819937901,5.77370063262
550,18.6818447916,4.77289435751
975,37.3274797246,35.7764515503
497,32.9333193054,80.2757389755
970,33.2638341868,21.8628699013
695,43.6086222152,52.3558789142
528,26.7223867777,36.1773848692
319,20.6288973569,25.3462818836
708,16.2682275133,85.9051206653
829,29.9920446346,29.4153790863
735,30.3649176868,48.7193076828
1009,33.1289119869,35.0050350772
529,31.6794260463,26.4350197413
385,26.8059222288,63.949602658
897,15.7618533289,19.3950522342
863,25.706364236,20.1735375394
861,18.1238909448,3.14592825486
543,31.595578177,30.2846452996
647,15.2852803291,59.6106605199
726,23.1798736668,29.457505102
746,21.6040444968,14.9662059583
77,24.7980523784,-9.32640535519
229,30.675455335,68.2364494335
55,15.2887729577,27.3886427683
620,18.7073412984,33.4620731469
445,22.4742707143,61.3383396968
199,16.9610662164,16.3972923075
956,18.6293755291,36.0123007446
145,47.4188831,40.7539332534
38,41.7038288435,34.5693235099
321,30.8620089112,44.0833692762
235,32.9326576563,47.526270737
29,22.7689877192,45.3966131891
73,8.11248833322,57.8377503883
284,30.0860508191,15.1811690678
991,33.3338180384,53.8349484607
278,30.5876202895,75.4238051637
681,17.8753948048,28.1548678966
935,33.5737170185,23.4967936044
378,19.6055254731,8.40290307322
131,31.1044458856,49.8398667966
921,28.276373394,33.2603582137
179,21.3542992711,55.7533989001
633,27.1043054926,15.8407118097
697,28.8935460171,73.1329467389
1052,27.4755253569,56.7146682831
356,22.9817284218,3.94597595383
509,32.7053912925,41.1182908806
691,36.9997431518,29.9186469706
1054,34.2836061316,33.0332378525
502,33.5551818061,79.5179391734
896,17.1415950832,56.8353889896
490,16.845611067,36.8604976427
913,19.7594769443,38.4572428917
43,31.5169184985,39.6864485939
1012,37.005848505,71.2534635737
178,33.7980906089,35.9013672717
652,23.0030086569,20.8820808084
973,27.4646624164,11.2329264694
342,18.4174296948,17.1271975029
604,16.7617576255,12.7950614276
118,33.3361789231,46.4253456996
78,29.3684377883,20.8302506956
430,19.1159512384,38.8249820942
