index,lat,long
48,28.3232314491,41.0910793378
125,32.8519469689,43.3178986779
828,30.9437308433,71.2494447008
841,20.034626681,57.4099206455
561,32.8424692115,-13.507832024
358,29.0806544304,79.5473818274
616,28.3690711038,41.4248245083
44,27.1038249939,5.42359858476
550,21.952482905,-11.0990058401
975,33.8670573105,25.3462634697
497,26.03001563,82.9453909866
970,31.546570526,23.7217265917
695,39.6981236369,44.2608235669
528,24.1905941652,35.3456787527
319,16.9701570436,22.0345168815
708,15.9039699261,76.6029421147
829,28.9653358295,23.3127764571
735,26.2971045702,54.2638939346
1009,31.8123496675,28.5931719867
529,33.6026786535,21.6107144257
385,26.8534152243,59.96142832
897,13.8585187319,22.35834575
863,23.8812011508,30.7926939095
861,17.0991929096,-14.1472159398
543,32.1345202845,27.1470350734
647,13.7946279188,54.0745711662
726,19.9943482836,23.0786516521
746,19.8148143526,9.63568416512
77,22.7644611896,-7.14407498764
229,31.258060037,67.8256073857
55,11.9092379942,20.3015709208
620,14.3474298313,26.8843129788
445,24.3429585274,68.5264967793
199,15.6415692556,20.0318014821
956,21.8702375279,29.6939029741
145,40.3411737831,33.8199824652
38,40.1272804797,25.5840716713
321,25.6585286576,56.121296745
235,35.1692349159,48.1542600036
29,25.722278805,51.1926810709
73,12.8295257823,53.0187789227
284,33.5253347918,15.2144239278
991,31.1151055872,53.1742173103
278,31.9935491907,82.7659480901
681,17.3788285574,34.7712940811
935,36.5117167951,14.9847151461
378,18.3620398022,1.82375870246
131,32.7827763829,49.701204683
921,29.4975828243,36.0040686102
179,21.6323310765,66.5576009173
633,27.1753986478,15.4354832037
697,31.6414748817,72.5972298867
1052,26.5709051324,50.4991431725
356,20.3697288796,7.16163178507
509,32.393342219,40.4242903201
691,38.7399780404,26.0327059322
1054,33.6154705447,30.5577977137
502,35.870709239,59.5816698903
896,15.5128423395,53.0265057864
490,16.2778992511,33.3487684402
913,19.8988448116,37.1378227448
43,30.430469076,35.5363666393
1012,38.5487770667,77.8989201698
178,34.0048999698,38.2851681817
652,22.511880826,16.1053495272
973,25.82846408,5.30986032043
342,17.6925231457,22.4762274207
604,17.5523368958,3.594750016
118,33.2983613876,47.0671327065
78,31.7690577627,25.9295495279
430,21.5691784288,36.3009132389
922,16.8684980807,-4.59864320878
448,38.8500485907,45.7683057374
177,40.764216253,68.5959380961
779,30.2850798221,14.8523863367
899,27.627707974,23.2813442556
130,28.9057321398,53.6935475062
332,34.028286307,24.2107581976
540,37.7229653366,86.6398957126
367,25.8108573832,46.1106350387
628,20.8232561146,36.4363093879
403,21.2616440029,34.0546928118
915,15.6978665412,42.8538154951
1017,40.5810946178,34.6439845847
754,20.6935166876,70.4297885776
557,26.5403404019,24.5737557791
36,5.19225238835,20.9902316984
734,22.6346799654,53.7555760376
759,35.5796189462,20.5430236253
313,13.0275645622,-48.6427020815
930,31.349266623,0.140132773696
116,36.1043213744,46.1953306021
244,35.4228259396,17.4491228928
920,27.3915340364,71.1572838108
204,23.8778451926,25.0372183927
42,21.1790486265,73.6262137702
1051,19.3988573079,62.8953664461
622,25.7876413887,21.6978076593
583,28.72149636,74.6492378197
801,27.5733087152,41.426345461
469,10.3443937971,63.5673998436
842,18.4868393909,27.8333054271
758,31.3359417187,30.2474455445
489,28.3636936865,70.3930812361
761,32.652949049,28.984473991
839,30.3844153681,45.4497659011
353,30.256779156,39.4395089633
777,27.3919102921,33.0165688788
689,27.7044092824,23.8684559965
934,39.2987873078,86.2367965878
517,29.622157344,-39.0234922741
175,23.1278204008,33.9029505199
380,24.4956943703,47.3923277777
1002,25.558789565,10.7003061711
255,22.0868589312,58.3010463865
608,20.4200996917,33.2614866094
320,37.4792507462,29.3135994103
931,17.6259497915,31.4391220858
627,35.9292333159,83.8278914976
80,26.1145011677,71.6642201097
500,20.0169797634,77.20737515
237,27.0950416108,35.5761866829
406,19.8080803734,66.5503269376
979,25.6757053062,70.5141783547
521,39.2039724208,37.4660553892
945,38.7719183568,71.4100974118
669,23.5258805318,29.2675521863
748,37.7938702095,24.1557987049
416,34.946715508,52.9041858062
150,22.2608055035,32.3448978084
220,23.3946692352,19.9418234204
419,17.002915443,22.8866828944
615,20.5577291494,13.4613568352
429,35.3841789094,42.283616553
317,24.801926851,42.0032929529
799,32.6685520838,57.4006728744
40,22.8925543115,36.0611033107
711,27.139599826,39.5552716386
663,33.5684436052,26.7438550322
30,16.5936434405,27.8278142898
904,33.7982691975,56.2184937108
410,33.108844455,43.6702752235
525,29.9971462571,42.5036011678
347,27.6409721337,109.881867104
341,31.1711333284,32.249964821
546,24.5160488752,42.6185003711
386,25.9300780795,52.0770512092
875,26.8982957393,23.7929811772
888,26.1957514387,64.0209518072
