id,Elevation_meters,Aspect_azimuth,Slope_degrees,HdistHydro_meters,VdistHydro_meters,HdistRoad_meters,Hillshade9am_0to255,Hillshade12pm_0to255,Hillshade3pm_0to255,HdistFirePoints_meters,Wilderness_bin_1,Wilderness_bin_2,Wilderness_bin_3,Wilderness_bin_4,soil_bin_1,soil_bin_2,soil_bin_3,soil_bin_4,soil_bin_5,soil_bin_6,soil_bin_7,soil_bin_8,soil_bin_9,soil_bin_10,soil_bin_11,soil_bin_12,soil_bin_13,soil_bin_14,soil_bin_15,soil_bin_16,soil_bin_17,soil_bin_18,soil_bin_19,soil_bin_20,soil_bin_21,soil_bin_22,soil_bin_23,soil_bin_24,soil_bin_25,soil_bin_26,soil_bin_27,soil_bin_28,soil_bin_29,soil_bin_30,soil_bin_31,soil_bin_32,soil_bin_33,soil_bin_34,soil_bin_35,soil_bin_36,soil_bin_37,soil_bin_38,soil_bin_39,soil_bin_40
551962,2188,33,42,85,53,541,177,117,42,376,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551963,3129,79,8,60,-8,1249,231,226,128,2483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
551964,2563,31,18,108,28,382,213,199,117,1601,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551965,2624,26,29,242,97,722,194,165,93,743,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
551966,2164,138,28,42,22,1399,249,217,76,301,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551967,3362,248,13,228,107,3479,191,249,196,511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
551968,3152,84,7,247,10,3248,230,228,131,4120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551969,3007,82,16,366,62,4222,240,210,96,1846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
551970,3259,37,12,255,18,4389,219,213,127,1542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551971,3066,10,21,212,62,1617,192,192,132,1579,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
551972,3062,12,15,300,33,2792,203,208,140,1253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
551973,2978,64,19,417,178,433,234,197,88,1448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
551974,3362,90,2,541,71,2053,223,235,148,2844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
551975,3241,1,15,841,38,1698,198,211,150,916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
551976,3196,76,19,175,5,1517,239,202,86,671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
551977,2667,212,28,170,101,1987,184,252,190,360,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551978,3159,39,10,324,17,3146,221,218,131,4575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
