id,coverType_1to7
551962,6
551963,1
551964,2
551965,2
551966,3
551967,1
551968,1
551969,2
551970,1
551971,2
551972,1
551973,1
551974,2
551975,1
551976,7
551977,3
551978,1
551979,1
551980,1
551981,2
551982,2
551983,1
551984,1
551985,2
551986,2
551987,1
551988,6
551989,2
551990,3
551991,7
551992,2
551993,1
551994,2
551995,2
551996,1
551997,1
551998,3
551999,1
552000,1
552001,2
552002,2
552003,1
552004,2
552005,2
552006,1
552007,2
552008,2
552009,3
552010,2
552011,1
552012,1
552013,1
552014,1
552015,2
552016,1
552017,1
552018,1
552019,1
552020,1
552021,1
552022,2
552023,1
552024,7
552025,2
552026,2
552027,2
552028,2
552029,3
552030,7
552031,3
552032,1
552033,2
552034,1
552035,2
552036,3
552037,1
552038,1
552039,1
552040,2
552041,1
552042,2
552043,1
552044,1
552045,1
552046,2
552047,2
552048,2
552049,1
552050,3
552051,2
552052,2
552053,2
552054,2
552055,3
552056,3
552057,2
552058,1
552059,2
552060,1
552061,2
552062,6
552063,2
552064,1
552065,3
552066,6
552067,2
552068,2
552069,3
552070,2
552071,3
552072,1
552073,2
552074,1
552075,1
552076,7
552077,1
552078,2
552079,2
552080,2
552081,2
552082,1
552083,4
552084,2
552085,1
552086,2
552087,1
552088,2
552089,2
552090,1
552091,2
552092,1
552093,2
552094,1
552095,5
552096,2
552097,2
552098,2
552099,1
552100,1
552101,1
552102,2
552103,7
552104,2
552105,2
552106,2
552107,1
552108,2
552109,6
552110,1
552111,2
552112,2
552113,1
552114,7
552115,2
552116,2
552117,2
552118,1
552119,1
552120,2
552121,2
552122,2
552123,1
552124,1
552125,2
552126,2
552127,2
552128,3
552129,1
552130,2
552131,2
552132,2
552133,1
552134,1
552135,1
552136,2
552137,2
552138,1
552139,1
552140,2
552141,2
552142,2
552143,2
552144,5
552145,2
552146,1
552147,2
552148,2
552149,1
552150,2
552151,2
552152,1
552153,2
552154,2
552155,1
552156,2
552157,1
552158,2
552159,1
552160,1
552161,6
552162,3
552163,2
552164,2
552165,2
552166,7
552167,2
552168,1
552169,3
552170,1
552171,2
552172,2
552173,1
552174,1
552175,1
552176,3
552177,1
552178,1
552179,2
552180,2
552181,3
552182,2
552183,1
552184,1
552185,1
552186,2
552187,3
552188,6
552189,1
552190,2
552191,2
552192,1
552193,7
552194,2
552195,6
552196,1
552197,2
552198,3
552199,1
552200,3
552201,2
552202,2
552203,2
552204,1
552205,6
552206,2
552207,2
552208,2
552209,2
552210,3
552211,1
552212,2
552213,2
552214,1
552215,2
552216,2
552217,1
552218,1
552219,1
552220,2
552221,2
552222,7
552223,2
552224,1
552225,3
552226,2
552227,3
552228,6
552229,2
552230,2
552231,1
552232,1
552233,3
552234,1
552235,3
552236,6
552237,1
552238,6
552239,1
552240,5
552241,1
552242,1
552243,1
552244,1
552245,1
552246,1
552247,7
552248,2
552249,1
552250,2
552251,2
552252,2
552253,5
552254,2
552255,2
552256,1
552257,3
552258,2
552259,2
552260,2
552261,2
552262,1
552263,1
552264,1
552265,2
552266,2
552267,2
552268,2
552269,2
552270,1
552271,2
552272,1
552273,2
552274,1
552275,3
552276,1
552277,1
552278,1
552279,1
552280,6
552281,7
552282,2
552283,7
552284,2
552285,2
552286,2
552287,1
552288,2
552289,1
552290,3
552291,2
552292,2
552293,1
552294,7
552295,1
552296,1
552297,7
552298,1
552299,2
552300,2
552301,1
552302,1
552303,2
552304,2
552305,2
552306,2
552307,2
552308,1
552309,1
552310,1
552311,2
552312,2
552313,2
552314,1
552315,2
552316,2
552317,6
552318,2
552319,3
552320,1
552321,2
552322,1
552323,2
552324,2
552325,2
552326,2
552327,2
552328,2
552329,3
552330,6
552331,1
552332,1
552333,6
552334,1
552335,2
552336,1
552337,2
552338,1
